Authors,Year,First author and year,Title,DOI,Number (% female),Age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,Does the study have a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study apply proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,sensors_type_plot,axes
"Kayes N.M., McPherson K.M., Taylor D., Schluter P.J., Wilson B.-J.K., Kolt G.S.",2007,"Kayes et al, 2007","The Physical Activity and Disability Survey (PADS): Reliability, validity and acceptability in people with multiple sclerosis",10.1177/0269215507075516,30 (76.7),"54 (median), range: 27-76",not reported,not reported,not reported,not reported,not reported,none,"Actical
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1 (non-wheelchair user), 2 (wheelchair users)
Primary position: waist, wrist (wheelchair users only)",real-life setting,7 days,yes,applies partially,yes,no,yes,applies partially,yes,no,yes,accelerometer,3
"Klassen L., Schachter C., Scudds R.",2008,"Klassen et al, 2007",An exploratory study of two measures of free-living physical activity for people with multiple sclerosis,10.1177/0269215507082740,30 (63.3),"42.9 (mean), range: 32-60",not reported,EDSS: range: 1-6,not reported,not reported,not reported,"healthy
n=9 (89% female)
age: 41.6 (4.4), range: 37-51","TriTrac RT3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,4 days,yes,yes,yes,applies partially,yes,yes,yes,no,yes,accelerometer,3
"Motl R.W., Snook E.M.",2008,"Motl et al, 2008",Confirmation and extension of the validity of the Multiple Sclerosis Walking Scale-12 (MSWS-12),10.1016/J.JNS.2007.11.003,133 (78.2),51.1 (11.1),"RR: n=85,
PP: n=6,
SP: n=52","EDSS: 4.9 (2.0),
MSWS-12: 44.5 (24.4)",12.0 (9.0),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E., Snook E.M., Gliottoni R.C.",2008,"Motl et al, 2008",Does the relationship between physical activity and quality of life differ based on generic versus disease-targeted instruments?,10.1007/S12160-008-9049-4,292 (83.9),48.0 (10.3),"RR: n=246,
PP: n=12,
SP: n=34","inclusion criteria: being ambulatory with minimal assistance, relapse free in the last 30 days",10.3 (7.9),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,1
"Hale L.A., Pal J., Becker I.",2008,"Hale et al, 2008",Measuring Free-Living Physical Activity in Adults With and Without Neurologic Dysfunction With a Triaxial Accelerometer,10.1016/J.APMR.2008.02.027,11 (72.7),"63.7 (15.5), range: 28-91",not reported,"Rivermead Mobility Index: 12.4 (2.2), range: 8-15",not reported,not reported,not reported,"healthy sedentary
n=9 (89% female)
age: 51 (18.1), range: 28-76","TriTrac RT3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,no,yes,applies partially,yes,no,yes,accelerometer,3
"Snook E.M., Motl R.W.",2008,"Snook et al, 2008","Physical Activity Behaviors in Individuals with Multiple Sclerosis: Roles of Overall and Specific Symptoms, and Self-Efficacy",10.1016/J.JPAINSYMMAN.2007.09.007,80 (81.3),49.0 (11.4),"RR: n=62,
PP: n=1,
SP: n=15,
benign: n=2",EDSS: 3.9 (1.8),10.1 (7.9),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,applies partially,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., Snook E.M., Wynn D.R., Vollmer T.",2008,"Motl et al, 2008",Physical activity correlates with neurological impairment and disability in multiple sclerosis,10.1097/NMD.0B013E318177351B,80 (81.3),49.0 (11.4),"RR: n=65,
PP: n=1,
SP: n=14","EDSS: 4 (mean), range: 1-6.5",10.1 (7.9),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., Snook E.M., Agiovlasitis S., Suh Y.",2009,"Motl et al, 2009",Calibration of Accelerometer Output for Ambulatory Adults With Multiple Sclerosis,10.1016/J.APMR.2009.03.020,24 (83.3),43.5 (12.2),"RR: n=21,
PP: n=1,
benign: n=2","PDDS: 1.5 (1.4),
inclusion criteria: ambulatory without an assistive device including a cane, crutch, or walker",9.1 (7.3),not reported,"exclusion criteria: no patients with family history of coronary heart disease, cigarette smoking, hypertension, high cholesterol, diabetes, obesity, and sedentary lifestyle","healthy
n=24 (83% female)
age: 40.9 (11.4)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",lab setting (controlled),not reported,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., Schwartz C.E., Vollmer T.",2009,"Motl et al, 2009",Continued validation of the Symptom Inventory in multiple sclerosis,10.1016/J.JNS.2009.06.015,133 (not reported) ,not reported,"RR: n=82,
progressive: n=51","EDSS: 5.5 (median), range: 1-8.5",12 (9),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,applies partially,no,yes,applies partially,applies partially,yes,no,no,accelerometer,1
"Kayes N.M., Schluter P.J., McPherson K.M., Leete M., Mawston G., Taylor D.",2009,"Kayes et al, 2009",Exploring Actical Accelerometers as an Objective Measure of Physical Activity in People With Multiple Sclerosis,10.1016/J.APMR.2008.10.012,31 (67.7),"50 (median), range: 34-80","RR: n=11, 
SP: n=5, 
CP: n=12,
benign: n=3",used assitive devices: n=14,"7 (median), range: 1-40",not reported,not reported,none,"Actical
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,"accelerometer, others",3
"Motl R.W., McAuley E.",2009,"Motl et al, 2009",Longitudinal Analysis of Physical Activity and Symptoms as Predictors of Change in Functional Limitations and Disability in Multiple Sclerosis,10.1037/A0015770,292 (83.9),"48.0 (10.3), range: 20-69","RR: n=246, 
PP: n=12, 
SP: n=34","Patient-Determined Disease Steps scale (Hadjim- ichael, Kerns, Rizzo, Cutter, & Vollmer, 2007) score: 3.0 (median), range : 0-6, (corresponds EDDS score of 4.0-4.5),
inclusion criteria: ambulatory with minimal assistance","10.3 (7.9), range: 1-35",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,2 weeks,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E.",2009,"Motl et al, 2009",Pathways Between Physical Activity and Quality of Life in Adults With Multiple Sclerosis,10.1037/A0015985,292 (83.9),"48.0 (10.3), range: 20-69","RR: n=246,
PP: n=12,
SP: n=34","Patient-Determined Disease Steps scale score: 3.0 (median), range: 0-6, EDSS of 4.0-4.5 (i.e. gait disability without the need for an assistive device)","10.3 (7.9), range: 1-35",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E., Snook E.M., Gliottoni R.C.",2009,"Motl et al, 2009","Physical activity and quality of life in multiple sclerosis: Intermediary roles of disability, fatigue, mood, pain, self-efficacy and social support",10.1080/13548500802241902,292 (83.9),"48.0 (10.3), range: 20-69","RR: n=246,
PP: n=12,
SP: n=34",not reported,"10.3 (7.9), range: 1-35",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E., Doerksen S., Hu L., Morris K.S.",2009,"Motl et al, 2009",Preliminary evidence that self-efficacy predicts physical activity in multiple sclerosis,10.1097/MRR.0B013E328325A5ED,16 (87.5),43.4 (8.7),RR: n=16,not reported,not reported,not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,10 days,yes,yes,,applies partially,applies partially,yes,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E.",2009,"Motl et al, 2009",Symptom Cluster as a Predictor of Physical Activity in Multiple Sclerosis: Preliminary Evidence,10.1016/J.JPAINSYMMAN.2008.08.004,292 (83.9),48.0 (10.3),"RR: n=239,
PP: n=12,
SP: n=34,
benign: n=7",not reported,10.3 (7.9),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,2 weeks,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,accelerometer,1
"Snook E.M., Motl R.W., Gliottoni R.C.",2009,"Snook et al, 2009",The effect of walking mobility on the measurement of physical activity using accelerometry in multiple sclerosis,10.1177/0269215508101757,74 (82.4),49.0 (11.6),"RR: n=58, 
PP: n=1, 
SP: n=13, 
benign: n=2",EDSS: 3.9 (1.8),10.1 (8.0),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., Dlugonski D., Suh Y., Weikert M., Fernhall B., Goldman M.",2010,"Motl et al, 2010",Accelerometry and its association with objective markers of walking limitations in ambulatory adults with multiple sclerosis,10.1016/J.APMR.2010.08.011,26 (84.6),43.1 (11.9),RR: n=26,PDDS: 1.8 (1.6),11.6 (8.4),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,1
"Weikert M., Motl R.W., Suh Y., McAuley E., Wynn D.",2010,"Weikert et al, 2010",Accelerometry in persons with multiple sclerosis: Measurement of physical activity or walking mobility?,10.1016/J.JNS.2009.12.021,269 (82.9),45.9 (9.6),RR: n=269,"PDDS: 2 (median), range: 0-6",13.3 (9.2),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., Sosnoff J.J., Dlugonski D., Suh Y., Goldman M.",2010,"Motl et al, 2010",Does a waist-worn accelerometer capture intra- and inter-person variation in walking behavior among persons with multiple sclerosis?,10.1016/J.MEDENGPHY.2010.08.015,24 (83.3),43.0 (11.7),RR: n=24,"PDDS: 1 (median), range: 0-4",11.1 (8.5),not reported,"inclusion criterion: absence of self-reported risk-factors for undertaking strenuous physical activity including cardiovascular diseases, diabetes, hyperlipidemia, and hypertension",none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 2
Primary position: waist, ankle",lab setting (controlled),not reported,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,1
"Rietberg, MB; van Wegen, EE; Uitdehaag, BM; de Vet, HC; Kwakkel, G",2010,"Rietberg et al, 2010",How Reproducible Is Home-Based 24-Hour Ambulatory Monitoring of Motor Activity in Patients With Multiple Sclerosis?,10.1016/J.APMR.2010.07.018,43 (69.8),48.7 (7.0),"RR: n=26,
PP: n=7, 
SP: n=10","EDSS: 3.5 [2.5], range: 1-6","14.3 (9.2), range: 2-51",not reported,no comorbidities that could influence fatigue and/or mobility,none,"Vitaport Step Watch
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 5
Primary position: sternum, waist, upper leg",real-life setting,2 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,2
"Suh Y., Motl R.W., Mohr D.C.",2010,"Suh et al, 2010","Physical activity, disability, and mood in the early stage of multiple sclerosis",10.1016/J.DHJO.2009.09.002,96 (78.1),"42.8 (10.2), range: 20-64","RR: n=91, 
PP: n=2, 
SP: n=3",not reported,"3.0 (1.5), range: 0.5-5",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: not reported",real-life setting,7 days,yes,no,yes,applies partially,applies partially,applies partially,applies partially,no,yes,accelerometer,1
"Gijbels D., Alders G., Van Hoof E., Charlier C., Roelants M., Broekmans T., Op 'T Eijnde B., Feys P.",2010,"Gijbels et al, 2010",Predicting habitual walking performance in multiple sclerosis: Relevance of capacity and self-report measures,10.1177/1352458510361357,50 (66.0),"49 (10), range: 25-66","RR: n=23,
PP: n=14, 
SP: n=13","EDSS: 4.5 (1.2), range: 1.5-6.5, 
T25FW: 7.4 (4.4), range: 4.1-25.1, 
patients with walking aid: n=8, 
9HPT dominant hand: 24.1 (6.1), range: 16.6-44.4, 
9HPT non-dominant hand: 26.5 (7.5), range: 16.7-49.5,
PASAT 3': 43 (13), range: 17-60",not reported,"exclusion criteria: patients who were under relapse related medical treatment with glucocorticoids in the last month prior to testing, or had an orthopaedic or other condition interfering with walking",not reported,none,"SAM 2D
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Primary position: ankle",real-life setting,7 days,yes,yes,yes,yes,yes,yes,yes,no,yes,accelerometer,2
"Sosnoff J.J., Goldman M.D., Motl R.W.",2010,"Sosnoff et al, 2010",Real-life walking impairment in multiple sclerosis: Preliminary comparison of four methods for processing accelerometry data,10.1177/1352458510373111,"70 (80.0)
(Self-reported disability status: 
mild: n=33, 
moderate: n=20, 
severe: n=17)","Self-reported disability status: 
mild: 47.4 (10.1), 
moderate: 49.4 (13.1), 
severe: 53.2 (10.3)","RR: n=56, 
PP: n=1,
SP: n=13 ","SR-EDSS: 
mild: 2.1 (0.77),
moderate: 5.05 (0.53),
severe: 6.02 (0.12)","Self-reported disability status: 
mild: 10.3 (8.4), 
moderate: 10.7 (9.6), 
severe: 11.5 (5.1)",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E., Wynn D., Suh Y., Weikert M., Dlugonski D.",2010,"Motl et al, 2010",Symptoms and physical activity among adults with relapsing-remitting multiple sclerosis,10.1097/NMD.0B013E3181D14131,269 (82.9),45.9 (9.6),RR: n=269,"PDDS: 2 (median), range: 0-6",13.3 (9.2),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Alaqtash, M; Yu, HY; Brower, R; Abdelgawad, A; Sarkodie-Gyan, T",2011,"Alaqtash et al, 2011",Application of wearable sensors for human gait analysis using fuzzy computational algorithm,10.1016/J.ENGAPPAI.2011.04.010,4 (0.0),"43.5 (14.5), range: 29-63",RR: n=4,not reported,not reported,not reported,not reported,"healthy
n=10 (0% female)
age: 26.2 (5.2), range: 21-38","ADXL330 iMEMSs
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 8
Primary position: waist, upper leg, lower leg, foot",lab setting (controlled),not reported,yes,no,yes,no,yes,no,yes,no,no,accelerometer,3
"Motl R.W., Dlugonski D.",2011,"Motl et al, 2011",Increasing physical activity in multiple sclerosis using a behavioral intervention,10.1080/08964289.2011.636769,18 (88.9),45.1 (9.5),RR: n=18,"PDDS: 1.0 (median), range: 0-4",7.3 (5.0),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer, pedometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,3 weeks,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Schlesinger S., Neuhaus A., Thiele A., Kippnich M., Rashid A., Griewing B., Daumer M.",2011,"Schlesinger et al, 2011",Is it possible to measure mobility deficits of patients suffering from multiple sclerosis?: Evaluation of mobility of patients with MS and motor dysfunctions by means of accelerometers,10.1055/S-0031-1271750,16 (50.0),"47.56 (7.78), range: 39-70",SP: n=16,"EDSS: 3.56 (1.05), 3.5 (median), range: 2-5.5",not reported,not reported,not reported,"healthy
n=26 (42% female)
age: 37.3 (12.9), range= 25-67","Actibelt
Type of sensor: not reported
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,,,,,,,,,,,not reported,3
"Grčić P.F., Matijaca M., Lušić I., Čapkun V.",2011,"Grčić et al, 2011",Responsiveness of walking-based outcome measures after multiple sclerosis relapses following steroid pulses,10.12659/MSM.882130,49 (79.6),"35 (median), range: 18-56",RR: n=49,"EDSS: 3.0 (median), range: 1.5-6.0","8 (median), range: 1.3-27","relapse with difficulties in walking: Solu-Medrol (1000 mg/day, 3 days)",not reported,none,"StepWatch Activity Monitor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: ankle",real-life setting,2 weeks,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Madeline Weikert, Deirdre Dlugonski, Yoojin Suh, Bo Fernhall, Robert W Motl",2011,"Weikert et al, 2011",The impact of gait disability on the calibration of accelerometer output in adults with multiple sclerosis.,10.7224/1537-2073-13.4.170,"24 (83.3)
(gait disability:
without gait disability [PDDS scores
≤2.0]: n=14, 
with gait disability [PDDS scores
≥3.0]: n=10)",42.0 (11.7),RR: n=24,"PDDS: 1 (median), range: 0-4, 
MSWS-12 without gait disability: 10.5 (11.1),
MSWS-12 with gait disability: 37.8 (11.7)",11.1 (8.5),NA,NA,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",lab setting (controlled),not reported,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Schmidt A.L., Pennypacker M.L., Thrush A.H., Leiper C.I., Craik R.L.",2011,"Schmidt et al, 2011",Validity of the stepwatch step activity monitor: Preliminary findings for use in persons with parkinson disease and multiple sclerosis,10.1519/JPT.0B013E31820AA921,9,55.9 (mean),not reported,"EDSS: 5.2 (mean), 95% CI: 3.9-6.6,
modified fatigue impact scale: 36.3 (mean), 95% CI: 24.2-48.5",not reported,number of medications : 5.6 (mean),not reported,"PD patients
n=11 (36% female)
age: 66.8 (mean)
Severity: 
-Modified Hoehn and Yahr Staging: mean 2.9, 95% CI 2.1-3.7;  
-Unified Parkinson Disease Rating Scale: acitivity of daily life: mean 13.3, 95% CI 9.0-17.6, 
motor 14.5, 95% CI 10.8-18.1","StepWatch Step Activity Monitor
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Primary position: ankle",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,applies partially,applies partially,no,yes,accelerometer,2
"Yu F., Bilberg A., Stenager E., Rabotti C., Zhang B., Mischi M.",2012,"Yu et al, 2012",A wireless body measurement system to study fatigue in multiple sclerosis,10.1088/0967-3334/33/12/2033,17 (not reported),range: 20-65 [inclusion criteria],not reported,inclusion criteria: EDSS<5.5,not reported,not reported,"inclusion criteria: no known cardiovascular disorders, pulmonary disorders, blood disorders, infections or other disorders except for MS;
exclusion criteria: patients who suffered from depression, severe pain, taking medication that may induce fatigue or being severely cognitively handicapped","healthy
n=9 (sex-matched to MS patients)
age: not specified","FAMOS, INA321 CMOS
Type of sensor: accelerometer, ECG amplifier
Number of axes: 1
Number of wearables: 8
Primary position: upper back, upper leg, lower leg, ankle",real-life setting,24 hours,yes,yes,no,no,yes,applies partially,yes,no,yes,"accelerometer, others",1
"Sandroff B.M., Motl R.W., Suh Y.",2012,"Sandroff et al, 2012",Accelerometer output and its association with energy expenditure in persons with multiple sclerosis,10.1682/JRRD.2011.03.0063,43 (88.4),47.2 (9.1),"RR: n=39,
PP: n=2, 
SP: n=2","PDDS: 1 (median), range: 0-5,
MSWS-12: 18.6 (16.5)",10.8 (7.7),not reported,not reported,"healthy
n=43 (88% female)
age: 46.5 (10.0)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 2
Primary position: waist",lab setting (controlled),not reported,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,accelerometer,1
