Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Motl R.W., Schwartz C.E., Vollmer T.",2009,"Motl et al, 2009",Continued validation of the Symptom Inventory in multiple sclerosis,10.1016/J.JNS.2009.06.015,133,not reported,not reported,NA,"RR: n=82,
P: n=51","EDSS: 5.5 (median), range: 1-8.5",12 (9),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,applies partially,no,yes,applies partially,applies partially,yes,no,no,RW: Physical activity,,,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Kayes N.M., Schluter P.J., McPherson K.M., Leete M., Mawston G., Taylor D.",2009,"Kayes et al, 2009",Exploring Actical Accelerometers as an Objective Measure of Physical Activity in People With Multiple Sclerosis,10.1016/J.APMR.2008.10.012,31,21,"50 (median), range: 34-80",50,"RR: n=11, 
SP: n=5, 
P: n=12,
benign: n=3",used assistive devices: n=14,"7 (median), range: 1-40",not reported,not reported,none,none,"Actical
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist

Polar heart rate monitor
Type of sensor: others (ECG)
Number of wearables: 1
Position: others (chest)",laboratory,not reported,,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,Lab: Physical activity,,,,no,,no,,no,,no,,no,,yes,non-significant,no,,no,,yes,significance not tested,
"Motl R.W., McAuley E.",2009,"Motl et al, 2009",Longitudinal Analysis of Physical Activity and Symptoms as Predictors of Change in Functional Limitations and Disability in Multiple Sclerosis,10.1037/A0015770,292,245,"48.0 (10.3), range: 20-69",48,"RR: n=246, 
PP: n=12, 
SP: n=34","PDDS: 3.0 (median), range: 0-6","10.3 (7.9), range: 1-35",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,2 weeks,,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,yes,some significant,no,,no,,
"Motl R.W., McAuley E.",2009,"Motl et al, 2009",Pathways Between Physical Activity and Quality of Life in Adults With Multiple Sclerosis,10.1037/A0015985,292,245,"48.0 (10.3), range: 20-69",48,"RR: n=246,
PP: n=12,
SP: n=34","PDDS: 3.0 (median), range: 0-6","10.3 (7.9), range: 1-35",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,yes,some significant,no,,no,,
"Motl R.W., McAuley E., Snook E.M., Gliottoni R.C.",2009,"Motl et al, 2009","Physical activity and quality of life in multiple sclerosis: Intermediary roles of disability, fatigue, mood, pain, self-efficacy and social support",10.1080/13548500802241902,292,245,"48.0 (10.3), range: 20-69",48,"RR: n=246,
PP: n=12,
SP: n=34",not reported,"10.3 (7.9), range: 1-35",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., McAuley E., Doerksen S., Hu L., Morris K.S.",2009,"Motl et al, 2009",Preliminary evidence that self-efficacy predicts physical activity in multiple sclerosis,10.1097/MRR.0B013E328325A5ED,16,14,43.4 (8.7),43.4,RR: n=16,not reported,not reported,not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,10 days,,yes,yes,,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,yes,significance not tested,no,,no,,
"Motl R.W., McAuley E.",2009,"Motl et al, 2009",Symptom Cluster as a Predictor of Physical Activity in Multiple Sclerosis: Preliminary Evidence,10.1016/J.JPAINSYMMAN.2008.08.004,292,245,48.0 (10.3),48,"RR: n=239,
PP: n=12,
SP: n=34,
benign: n=7",not reported,10.3 (7.9),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,2 weeks,,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Snook E.M., Motl R.W., Gliottoni R.C.",2009,"Snook et al, 2009",The effect of walking mobility on the measurement of physical activity using accelerometry in multiple sclerosis,10.1177/0269215508101757,74,61,49.0 (11.6),49,"RR: n=58, 
PP: n=1, 
SP: n=13, 
benign: n=2",EDSS: 3.9 (1.8),10.1 (8.0),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,yes,significant,no,,no,,no,,no,,no,,
"Motl R.W., Dlugonski D., Suh Y., Weikert M., Fernhall B., Goldman M.",2010,"Motl et al, 2010",Accelerometry and its association with objective markers of walking limitations in ambulatory adults with multiple sclerosis,10.1016/J.APMR.2010.08.011,26,22,43.1 (11.9),43.1,RR: n=26,PDDS: 1.8 (1.6),11.6 (8.4),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

Cosmed K4b2
Type of sensor: others (VO2)
Number of wearables: 1
Position: others (head)",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Weikert M., Motl R.W., Suh Y., McAuley E., Wynn D.",2010,"Weikert et al, 2010",Accelerometry in persons with multiple sclerosis: Measurement of physical activity or walking mobility?,10.1016/J.JNS.2009.12.021,269,223,45.9 (9.6),45.9,RR: n=269,"PDDS: 2 (median), range: 0-6",13.3 (9.2),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., Sosnoff J.J., Dlugonski D., Suh Y., Goldman M.",2010,"Motl et al, 2010",Does a waist-worn accelerometer capture intra- and inter-person variation in walking behavior among persons with multiple sclerosis?,10.1016/J.MEDENGPHY.2010.08.015,24,20,43.0 (11.7),43,RR: n=24,"PDDS: 1 (median), range: 0-4",11.1 (8.5),not reported,inclusion criteria: absence of self-reported risk-factors for undertaking strenuous physical activity,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 2
Position: waist, ankle",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Physical activity,Lab: Gait,,,yes,non-significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Rietberg, MB; van Wegen, EE; Uitdehaag, BM; de Vet, HC; Kwakkel, G",2010,"Rietberg et al, 2010",How Reproducible Is Home-Based 24-Hour Ambulatory Monitoring of Motor Activity in Patients With Multiple Sclerosis?,10.1016/J.APMR.2010.07.018,43,30,48.7 (7.0),48.7,"RR: n=26,
PP: n=7, 
SP: n=10","EDSS: 3.5 [2.5], range: 1-6","14.3 (9.2), range: 2-51",not reported,no comorbidities that could influence fatigue and/or mobility,none,none,"Vitaport Step Watch
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 5
Position: sternum, waist, upper leg",real-world,2 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,yes,significant,no,,no,,no,,
"Suh Y., Motl R.W., Mohr D.C.",2010,"Suh et al, 2010","Physical activity, disability, and mood in the early stage of multiple sclerosis",10.1016/J.DHJO.2009.09.002,96,75,"42.8 (10.2), range: 20-64",42.8,"RR: n=91, 
PP: n=2, 
SP: n=3",not reported,"3.0 (1.5), range: 0.5-5",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,no,yes,applies partially,applies partially,applies partially,applies partially,no,yes,RW: Physical activity,,,,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Gijbels D., Alders G., Van Hoof E., Charlier C., Roelants M., Broekmans T., Op 'T Eijnde B., Feys P.",2010,"Gijbels et al, 2010",Predicting habitual walking performance in multiple sclerosis: Relevance of capacity and self-report measures,10.1177/1352458510361357,50,33,"49 (10), range: 25-66",49,"RR: n=23,
PP: n=14, 
SP: n=13","EDSS: 4.5 (1.2), range: 1.5-6.5",not reported,"exclusion criteria: patients who were under relapse related medical treatment with glucocorticoids in the last month prior to testing, or had an orthopaedic or other condition interfering with walking",not reported,none,none,"SAM 2D
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: ankle",real-world,7 days,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Sosnoff J.J., Goldman M.D., Motl R.W.",2010,"Sosnoff et al, 2010",Real-life walking impairment in multiple sclerosis: Preliminary comparison of four methods for processing accelerometry data,10.1177/1352458510373111,70,56,"Age by self-reported disability status: 
mild: 47.4 (10.1), 
moderate: 49.4 (13.1), 
severe: 53.2 (10.3)",49.4,"RR: n=56, 
PP: n=1,
SP: n=13 ","SR-EDSS: 
mild: 2.1 (0.77),
moderate: 5.05 (0.53),
severe: 6.02 (0.12)","Self-reported disability status: 
mild: 10.3 (8.4), 
moderate: 10.7 (9.6), 
severe: 11.5 (5.1)",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,yes,some significant,no,,no,,no,,no,,no,,
"Motl R.W., McAuley E., Wynn D., Suh Y., Weikert M., Dlugonski D.",2010,"Motl et al, 2010",Symptoms and physical activity among adults with relapsing-remitting multiple sclerosis,10.1097/NMD.0B013E3181D14131,269,223,45.9 (9.6),45.9,RR: n=269,"PDDS: 2 (median), range: 0-6",13.3 (9.2),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significance not tested,yes,significance not tested,no,,no,,no,,no,,no,,no,,no,,
"Alaqtash, M; Yu, HY; Brower, R; Abdelgawad, A; Sarkodie-Gyan, T",2011,"Alaqtash et al, 2011",Application of wearable sensors for human gait analysis using fuzzy computational algorithm,10.1016/J.ENGAPPAI.2011.04.010,4,0,"43.5 (14.5), range: 29-63",43.5,RR: n=4,not reported,not reported,not reported,not reported,healthy,"healthy
n=10 (0% female)
age: 26.2 (5.2)","ADXL330 iMEMS
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 8
Position: waist, upper leg, lower leg, foot",laboratory,not reported,,yes,no,yes,no,yes,no,yes,no,no,Lab: Gait,,,,no,,no,,yes,significance not tested,no,,no,,no,,no,,no,,no,,
"Motl R.W., Dlugonski D.",2011,"Motl et al, 2011",Increasing physical activity in multiple sclerosis using a behavioral intervention,10.1080/08964289.2011.636769,18,16,45.1 (9.5),45.1,RR: n=18,"PDDS: 1.0 (median), range: 0-4",7.3 (5.0),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

Yamax SW-201
Type of sensor: mechanical pedometer
Number of wearables: 1
Position: not reported",real-world,3 weeks,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,yes,some significant,yes,some significant,no,,
"Schlesinger S., Neuhaus A., Thiele A., Kippnich M., Rashid A., Griewing B., Daumer M.",2011,"Schlesinger et al, 2011",Is it possible to measure mobility deficits of patients suffering from multiple sclerosis?: Evaluation of mobility of patients with MS and motor dysfunctions by means of accelerometers,10.1055/S-0031-1271750,16,8,"47.56 (7.78), range: 39-70",47.56,not reported: n=16,"EDSS: 3.56 (1.05), 3.5 (median), range: 2-5.5",not reported,not reported,not reported,healthy,"healthy
n=26 (42% female)
age: 37.3 (12.9)","Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,not reported,,yes,applies partially,yes,no,yes,applies partially,yes,no,no,RW: Physical activity,,,,yes,non-significant,no,,yes,significant,no,,no,,no,,no,,no,,no,,
"Grčić P.F., Matijaca M., Lušić I., Čapkun V.",2011,"Grčić et al, 2011",Responsiveness of walking-based outcome measures after multiple sclerosis relapses following steroid pulses,10.12659/MSM.882130,49,39,"35 (median), range: 18-56",35,RR: n=49,"EDSS: 3.0 (median), range: 1.5-6.0","8 (median), range: 1.3-27","relapse with difficulties in walking: Solu-Medrol (1000 mg/day, 3 days)",not reported,none,none,"StepWatch Activity Monitor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: ankle",real-world,2 weeks,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significance not tested,no,,no,,no,,no,,no,,yes,some significant,no,,no,,
