,Authors,Year,First author and year,Title,DOI,Language,Demographics,Disease characteristics,Number of MS patients included in analysis,Number (% female),Percentage female,"Thereof female, n","Female, n",Age,Type of MS,,Severity,Duration of disease in years,Treatments,Comorbidities,Type (healthy or other),"Comparator population, number (number of females)",Type (healthy or other) more information,Number of Subjects,"Thereof female, n (or ratios)",,"Age, mean (SD) or age groups",Type of MS ,"Severity (EDSS, PDDS)","Duration of disease (years), mean (SD) or median [IQR]",Information on treatment of MS,Comorbidities,Wearable,sensors_type_plot,Primary wearable type(s) used,Brand / company of primary wearable(s),Number of axes (original copy),Software to extract features/data used,Recording frequency,Number of primary wearable (s),Position of primary wearable (drop-down),Position of primary wearable(s) (more details),Number of wearables (from position),"Context of primary wearable(s) (at home, in clinic, lab-testing, ...) (more details)",Context,Number of secondary wearable (s),Secondary wearable(s) type,Brand / company of secondary wearable(s),Position of secondary wearable(s),"Context of secondary wearable(s) (at home, in clinic, lab-testing, ...)",Wearables main topic of study?,"If wearable was not main topic of study, what was it used for?",Accelerometry used as outcome measure?,Study duration per participant (time wearable was worn),Duration wearable was worn,Number of visits/session,Main/primary outcome,Correlation metrics reported,"Reliability metrics reported (ICC, CV, standard error of measurement (SEM), minimally detectable change (MDC), ...)",Other metrics reported,"Other/secondary outcomes (e.g., cognition)","Traditional MS outcomes used (EDSS, MSFC, SDMT, T25FW, 10MWT, MRI, ...)",STUDY CONCLUSION,"Limitations reported (e.g., small sample size)",clinicaltrials.gov identifier (NCT),Comments (e.g. suspected re-use of participants),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,"Comment on which other measure used (for mixed cases: add ""(s)"" or ""(ns)"" or ""(mixed)"" after each measure)",Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Comment on what other diseases included,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective patient acceptability,Subjective patient acceptability - Effect
Bourguignon,"Motl R.W., McAuley E., Doerksen S., Hu L., Morris K.S.",2009,"Motl et al, 2009",Preliminary evidence that self-efficacy predicts physical activity in multiple sclerosis,10.1097/MRR.0B013E328325A5ED,English,,,16,16 (87.5),87.5,14,88%,43.4 (8.7),RR: n=16,,not reported,not reported,not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph single-axis accelerometer (model 7164 version),"Health One Technology, Fort Walton Beach, FL",1,"(i) software provided with the accelerometer,
(ii) Excel,
(iii) SPSS for Windows (15.0)",NA,1,not reported,NA,1 (not reported),at home,real-world,0,NA,NA,NA,NA,No,measure of physical activity,Yes,5 days twice (baseline and 3 months after baseline),10 days,0,"measure of exercise self-efficacy, barriers specific self-efficacy, objective physical activity measured by accelerometer ",bivariate and partial Pearson’s product–moment correlation coefficient,,"mean, sd, range; t statistics and associated pvalues; pvalues associated with partial correlation; ",,"Exercise Self- Efficacy (EXSE) scale,  Barriers Specific Self-Efficacy (BSSE) scale",Self-efficacy for continued physical activity was associated with baseline and follow-up levels of physical activity. Self-efficacy for overcoming barriers was associated with follow-up levels of physical activity and change in physical activity across a 3-month period.,sample size and its representativeness; did not examine the effect of actively encouraging behavior change on the relationship between self-efficacy and physical activity across time,,,yes,yes,,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,mixed,"BSSE (ns baseline, s follow-up), EXSE (s baseline, ns follow-up)",no,,no,,no,,,no,,yes,significance not tested,no,,no,
Bourguignon,"Motl R.W., McAuley E.",2009,"Motl et al, 2009",Symptom Cluster as a Predictor of Physical Activity in Multiple Sclerosis: Preliminary Evidence,10.1016/J.JPAINSYMMAN.2008.08.004,English,,,292,292 (83.9),83.90410959,245,245,48.0 (10.3),"RR: n=239,
PP: n=12,
SP: n=34,
benign: n=7",,not reported,10.3 (7.9),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph single-axis accelerometer (model 7164 version),"Health One Technology, Fort Walton Beach, FL",1,"(i) software provided with the accelerometer,
(ii) Excel,
(iii) SPSS for Windows (15.0),
(iv) Mplus (3.0)",NA,1,not reported,NA,1 (not reported),at home during waking hours,real-world,0,NA,NA,NA,NA,No,measure of physical activity,Yes,7 days repeated twice (baseline and 6-months follow-up),2 weeks,0,"self-report measures of fatigue, depression, pain, self-efficacy, and functional limitations at baseline and six months later; self-report measure of physical activity behavior and objective physical activity measurement (accelerometer)",yes but type of correlation not specified,,"Full InformationMaximum Likelihood (FIML) estimation, standardized root mean squared residual, comparative fit index (CFI); mean sd and range of the different scores; chi-squred statistics and associated pvalues; path coefficients; ",,Fatigue Severity Scale (FSS); Hospital Anxiety and Depression Scale(HADS);  short-formMcGill Pain Questionnaire (SF-MPQ);  Exercise Self-Efficacy Scale (EXSE); Late-Life Function and Disability Instrument (LL-FDI); ," data analysis indicated that: 1) fatigue, depression,and pain represented a symptom cluster; 2) the symptom cluster had a strong and negativepredictive relationship with physical activity behavior; and 3) functional limitations, but notself-efficacy, accounted for the predictive relationship between the symptom cluster and physicalactivity behavior. ","focused on a  six-month follow-up for measuring symptoms,and the magnitude of the relationship betweenthe symptom cluster and physical activity mightdiffer with shorter or longer follow-up periods; did not controlfor baseline activity in the analysis nor did we ex-amine the relationship between changes in thesymptom cluster and physical activity behavioracross time; focus on only three symptomsof fatigue, depression, and pain ; symptom dimensions that were measured varied across the FSS, HADS, and SF-MPQ",,suspected reuse of data from paper 16,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"FSS, HADS, MPQ, EXSE, FDI, GLTEQ",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Snook E.M., Motl R.W., Gliottoni R.C.",2009,"Snook et al, 2009",The effect of walking mobility on the measurement of physical activity using accelerometry in multiple sclerosis,10.1177/0269215508101757,English,,,74,74 (82.4),82.43243243,61,61,49.0 (11.6),"RR: n=58, 
PP: n=1, 
SP: n=13, 
benign: n=2",,EDSS: 3.9 (1.8),10.1 (8.0),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph single-axis accelerometer (model 7164 version),"Health One Technology, Fort Walton Beach, FL",1,SPSS (15),NA,1,waist,waist,1 (waist),"during the waking hours except while showering, bathing and swimming (at home)",real-world,0,NA,NA,NA,NA,No,measure of physical activity,Yes,7 days,7 days,0,"accelerometer data, Multiple Sclerosis Walking Scale-12 and Performance Scales,  Godin Leisure-Time Exercise Questionnaire and short-form of the International Physical Activity Questionnaire",Spearman rho correlations,test–retest reliability coefficient,"mean, sd of the different score; F-statistics and associated pvalues, group difference d; pvalues associated with correlation",,"GLTEQ, Godin Leisure-Time Exercise Questionnaire; IPAQ, short-form of the International Physical Activity Questionnaire; ACCEL, average daily accelerometer activity counts; MSWS-12, Multiple Sclerosis Walking Scale-12; PS mobility, mobility subscale of the Performance Scales.","data suggest that accelerometers are measuring both physical activity and walking mobility in individuals with multiple sclerosis, whereas self-report measures are measuring physical activity in individuals with multiple sclerosis, including those with ambulatory impairment.","limitations associated with the use of self-report physical activity measures;  convenience sample of individuals participating in multiple sclerosis support groups may not represent the actual demographics of the multiple sclerosis population;  pattern of relationships among the scores of the five measures would differ slightly had Munro’s (2001) guidelines, rather than Cohen’s guidelines;  limitation of the single-axis accelerometer is that it may not measure activity with minimal vertical displacement, such as cycling;  limitation of accelerometers is that the placement  of the accelerometer may affect the measurment of physical activity",,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,yes,mixed,"GLTEQ (s), SF-IPAQ (s in overall sample, ns in sample with ambulatory impairment), MSWS-12 (s), M-PS (s)",no,,yes,significant,no,,,no,,no,,no,,no,
Bourguignon,"Motl R.W., Dlugonski D., Suh Y., Weikert M., Fernhall B., Goldman M.",2010,"Motl et al, 2010",Accelerometry and its association with objective markers of walking limitations in ambulatory adults with multiple sclerosis,10.1016/J.APMR.2010.08.011,English,,,26,26 (84.6),84.61538462,22,22,43.1 (11.9),RR: n=26,,PDDS: 1.8 (1.6),11.6 (8.4),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist

Cosmed K4b2
Type of sensor: portable metabolic system (VO2)
Position: head","accelerometer, others","ActiGraph accelerometer (model 7164 version)

Cosmed K4b2 portable metabolic unit for oxygen consumption","Health One Technology, 15 W Main St, Pensacola, FL 32502",1,"(i) software provided with the accelerometer,
(ii) Excel",band-pas filtered: 0.25-2.5 Hz,"not sure ""This study included 6 ActiGraph model 7164 accelerom-eters"" but sounds like it is one per participant",waist,waist,1 (waist),"uring the waking hours of a 7-dayperiod, except while bathing, showering, or swimming (at home)",real-world,0,NA,NA,NA,NA,Yes,,Yes,7 days,7 days,0,Patient Determined DiseaseSteps (PDDS) scale and Multiple Sclerosis Walking Scale-12(MSWS-12); 6-minute walk test while wearing a portable metabolic unit for measuring the 6MWD and oxygen cost of walking; accelerometer during the waking hours of a 7-day period,Spearmanrank-order correlation,,"descriptive (ie, mean, SD, and range) and distributional (ie, skewness and kurtosis along with SEs) statistics; pvalues associated with the correlation",,patient Determined Disease Steps (PDDS) scale and Multiple Sclerosis Walking Scale-12(MSWS-12); 6-minute walk test while wearing a portablemetabolic unit for measuring the 6MWD and oxygen cost ofwalking; accelerometer during the waking hours of a 7-dayperiod,evidence that further supports thevalidity of accelerometry as a measure of walking limitations inambulatory persons with MS.,"participants did not maintain a diary regardingthe types of movement undertaken during the 7-day period thatwould aid in estimating the proportion of the accelerometersignal that reflects walking and its limitations versus othertypes of physical activity such as sports, chores, and gardening; demographic composition andsize of the sample;  cross-sectional nature of the study. This design did not afford anassessment of sensitivit; presence of the researchers might have biased the walking behavior(ie, speed) and oxygen cost of walking during the 6MWT;  only included 1 brand and model of accelerometer;  did not include a control group for examining thepossibility that the relationship between accelerometry and theother measures is unique to those with MS.",,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,yes,significant,yes,significant,"MSWS-12, 6MWD",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Weikert M., Motl R.W., Suh Y., McAuley E., Wynn D.",2010,"Weikert et al, 2010",Accelerometry in persons with multiple sclerosis: Measurement of physical activity or walking mobility?,10.1016/J.JNS.2009.12.021,English,,,269,269 (82.9),82.89962825,223,223,45.9 (9.6),RR: n=269,,"PDDS: 2 (median), range: 0-6",13.3 (9.2),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164 version),NA,1,"(i) SPSS for Windows (16.0),
(ii) AMOS (16.0)",1 min,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),"during the waking hours, except whileshowering, bathing, and swimming, at home",real-world,0,NA,NA,NA,NA,Yes,,Yes,7 days,7 days,0,"Godin Leisure-Time Exercise Questionnaire (GLTEQ), International Physical ActivityQuestionnaire (IPAQ), Multiple Sclerosis Walking Scale-12 (MSWS-12), Patient Determined Disease Steps(PDDS), and ActiGraph accelerometer for 7 days","Pearson product-moment correlation coefficients,  Spearman rho rank-order correlation coefficients",,"confirmatory factor analysis with the maximum likelihood likelihood estimator, root mean square error of approximation, comparative fit index; mean sd and range of scores; chi-squred statistics and associated pvalues; ",,"GLTEQ = Godin Leisure-Time Exercise Questionnaire; IPAQ = abbreviated version of International Physical Activity Questionnaire; MSWS-12 = Multiple Sclerosis Walking Scale-12; PDDS = Patient Determined Disease Steps scale, counts per day","accelerometers are measuring both physical activity and walking mobilityin persons with MS, whereas self-report instruments are measuring either physical activity or walkingmobility in this population","study included a narrowly defined sample of persons with relapsing-remitting MS who had a relatively short disease duration and lowdegree of disability;  included a single brand and model of accelerometer, namely theActiGraph, model 716; accelerometer only uniaxial so results should be replicated using a tri-axial accelerometer ",,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,,,yes,significance not tested,yes,significance not tested,"GLTEQ, IPAQ, MSWS-12",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Motl R.W., Sosnoff J.J., Dlugonski D., Suh Y., Goldman M.",2010,"Motl et al, 2010",Does a waist-worn accelerometer capture intra- and inter-person variation in walking behavior among persons with multiple sclerosis?,10.1016/J.MEDENGPHY.2010.08.015,English,,,24,24 (83.3),83.33333333,20,20,43.0 (11.7),RR: n=24,,"PDDS: 1 (median), range: 0-4",11.1 (8.5),not reported,"inclusion criterion: absence of self-reported risk-factors for undertaking strenuous physical activity including cardiovascular diseases, diabetes, hyperlipidemia, and hypertension",none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 2
Position: waist, ankle",accelerometer,ActiGraph accelerometer (model 7164 version),NA,1,SPSS (17),response ranges: 0.25-2.5 Hz,2,multiple positions,"(i) hip, non-dominant: n=1,
(ii) ankle, non-dominant: n=1","2: 1 (waist), 1 (ankle)",lab testing,laboratory,0,NA,NA,NA,NA,Yes,,Yes,3 times 6 minutes,not reported,1," three 6-min periods of over-ground walking that involved comfortable (CWS) and then slower (SWS) and faster (FWS) walking speeds, ActiGraph data","squared multiple correlation, Pearson product-moment correlations",,"F statistics and associated pvalues; mean, sd and range of scores; t statistics and associated pvalues; pvalues associated with correlation; z statistics fron Fisher's z-test and associated pvalues",,6MW with comfortable (CWS) and then slower (SWS) and faster (FWS) walking speeds,This study provides novel evidence that an accelerometer worn around the waist captures intra- and inter-person variation in over-ground walking behavior in those with MS.,"only examined the association between accelerometer movement counts and speed of walking during a 6-min period of walking; the study included a narrowly defined sample of persons with relapsing-remitting MS who had a relatively short disease duration and low degree of disability; included a single brand and model of accelerometer, namely the ActiGraph, model 7164, results should be replicated using a tri-axial accelerometer that measures acceleration in three planes.",,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Physical activity,Lab: Gait,,,,,yes,non-significant,yes,mixed,6MWT (mixed),no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Rietberg, MB; van Wegen, EE; Uitdehaag, BM; de Vet, HC; Kwakkel, G",2010,"Rietberg et al, 2010",How Reproducible Is Home-Based 24-Hour Ambulatory Monitoring of Motor Activity in Patients With Multiple Sclerosis?,10.1016/J.APMR.2010.07.018,English,,,43,43 (69.8),69.76744186,30,30,48.7 (7.0),"RR: n=26,
PP: n=7, 
SP: n=10",,"EDSS: 3.5 [2.5], range: 1-6","14.3 (9.2), range: 2-51",not reported,no comorbidities that could influence fatigue and/or mobility,none,none,no control,-,-,#VALUE!,-,-,-,-,,-,"Vitaport Step Watch
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 5
Position: sternum, waist, upper leg",accelerometer,"Vitaport, Step Watch","Step Watch, Oklahoma City Corporate Office: 840 ResearchPrkwy, Ste 200, Oklahoma City, OK 73104","2*1, 2*2",Microsoft Windows 2000 computer (service pack 4),"sample frequency: 256 Hz,
storage frequency: 32 Hz",5,multiple positions,"(i) waist (system),
on each leg:
(ii) lateral side of the thigh, halfway between the trochanter major and the lateral epicondyle of the femur: n=1 (uniaxialaccelerometer), 
(iii) corpus sterni, perpendicular to one another: n=2 (biaxial accelerometers)","5: 1 waist, 2 sternum, 2 upper leg",24h monitoring repeated twice in the patients' environment (home and community),real-world,0,NA,NA,NA,NA,Yes,-,Yes,2 times 24h,2 days,2 (researchers visited the patients at home),Dynamic activity and static activity parameters were recorded by using a portable data logger and classified continuously for 24 hours. Reproducibility was determined by calculating intraclass correlation coefficients (ICCs) for test-retest reliability and by applying the Bland-Altman method for agreement between the 2 measurements. The smallest detectable change (SDC) was calculated based onthe standard error of measurement,intrclass correlation coefficient (ICC),"ICC (ranged from .55for the category “lying” to .80 for “walking periods longer than5 seconds.”), SDC (Measurement error is 1.23 hours for dynamic activity, 66 for the number of sit-to-stand and stand-to-sitt ransitions, .99 hour for walking, 1.52 hours for static activity, 4.68 hours for lying, 3.95 hours for sitting, and 3.34 hours for standing. Overall SDCs for dynamic activities were better (ie, smaller) than for static activities) , Bland-Altman analysis","mean, sd, mean and sd differences between two assessments, lower and upper bounds, smallest detectable changes for different variables; pvalues associated correlation; ","dynamic activity, transition, walking, walking periods > 5s, walking periods > 10s, static activity, sitting, standing, lying",EDSS,"with 24-hourmonitoring, a reproducible estimate of physical activity can beobtained in ambulatory patients with MS","only ambulatory MS patients were included,  application of the activity monitoring was restricted to the legs and the trunk, the distribution-based method used is not necessarily informative as to the extent these data are clinically meaningful, dynamic activity of activity monitoring showed a relatively high SDC (withiin-suject variablity) of 1.23 hours",,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,no,,no,,,yes,significant,no,,no,,no,
Bourguignon,"Suh Y., Motl R.W., Mohr D.C.",2010,"Suh et al, 2010","Physical activity, disability, and mood in the early stage of multiple sclerosis",10.1016/J.DHJO.2009.09.002,English,,,96,96 (78.1),78.125,75,75,"42.8 (10.2), range: 20-64","RR: n=91, 
PP: n=2, 
SP: n=3",,not reported,"3.0 (1.5), range: 0.5-5",not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: not reported",accelerometer,ActiGraph single-axis accelerometer (model 7164 version),"Health One Tech-nology, Fort Walton Beach, FL",1,"(i) Excel,
(ii) SPSS for Windows (16.0),
(iii) Mplus (3.0)",NA,1,not reported,NA,1 (not reported),at home,real-world,0,NA,NA,NA,NA,No,measure of physical activity,Yes,7 days ,7 days,0,"pjysical activity with accelerometer, Patient Determined Disease Steps (PDDS) scale and Hospital Anxiety and Depression Scale (HADS)",Pearson product-moment and Spearman rho rank-order correlation coefficient,,"mean, sd, range and median of different scores; chi-squared statistics and pvalues; coefficients; ",,"HADS_A, Anxiety subscale of Hospital Anxiety and Depression Scale;HADS_D, Depression subscale of Hospital Anxiety and Depression Scale;Accelerometer, accelerometer counts; PDDS, Patient Determined DiseaseSteps Scale",results suggest that physical activity could be an important health promoting behavior for reducing depression in the early stages of MS and this should be the focus of subsequent randomized controlled clinical trials,cross-sectional design of the study precludes inferences about the direction of causality among variables;  representativeness of the sample based on the demographic characteristics of the participants; included the PDDS as a self-report measure of disability status in persons with early MS rather than using a clinically administered EDSS,,,yes,no,yes,applies partially,applies partially,applies partially,applies partially,no,yes,RW: Physical activity,,,,,,yes,significant,yes,mixed,"HADS-anxiety (ns), HADS-depression (s)",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Gijbels D., Alders G., Van Hoof E., Charlier C., Roelants M., Broekmans T., Op 'T Eijnde B., Feys P.",2010,"Gijbels et al, 2010",Predicting habitual walking performance in multiple sclerosis: Relevance of capacity and self-report measures,10.1177/1352458510361357,English,,,50,50 (66.0),66,33,33,"49 (10), range: 25-66","RR: n=23,
PP: n=14, 
SP: n=13",,"EDSS: 4.5 (1.2), range: 1.5-6.5, 
T25FW: 7.4 (4.4), range: 4.1-25.1, 
patients with walking aid: n=8, 
9HPT dominant hand: 24.1 (6.1), range: 16.6-44.4, 
9HPT non-dominant hand: 26.5 (7.5), range: 16.7-49.5,
PASAT 3': 43 (13), range: 17-60",not reported,"exclusion criteria: patients who were under relapse related medical treatment with glucocorticoids in the last month prior to testing, or had an orthopaedic or other condition interfering with walking",not reported,none,none,,-,-,#VALUE!,,-,-,-,,-,"SAM 2D
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: ankle",accelerometer,SAM 2D accelerometer-based activity monitor,"OrthoCare Innovations, Washington DC, USA",2,"(i) Statistica,
(ii) SAS",NA,1,ankle,"ankle, non- or least paretic leg",1 (ankle),"continuously wear it except when engaging in water activities, while continuing their normal lifestyle, 1 minute epoch (at home)",real-world,0,NA,NA,NA,NA,No,evaluate habitual walking performance,yes,7 consecutive days,7 days,2,"leg muscle strength, walking and balance capacity, self-report indices on perceived physical functioning, habitual walking performance (accelerometer), 6MWT, 2MWT","
Spearman rank and
Pearson correlation coefficients, ajusted R-squared, ",MIC (minimally important change),"mean, sd, range; t statistics and associated pvalues; pvalues associated with partial correlation; R^2, predictive value and adjusted predictive value; beta, estimate; SE, standard error; t-statistics and corresponding pvalues; ","leg muscle strength, avticities and participation agreement, 9HPT, 9-Hole Peg Test; PASAT, Paced Auditory Serial Addition Test.","TUG, T25FW, 2MWT, 6MWT, motrivity index, berg balance scale, EDSS, MS impact scale-29 physical impact, rivermead mobility index, short form-36 physical functioning","walking capacity tests and EDSS are the highest correlated with habitual walking performance (besides the BBS, RMI, and APQA), though the number and magnitude of significant correlation coefficients were clearly dissimilar in the MS subgroups (mild, i.e. edss 1.5-4.0 VS moderate, i.e. edss 4.5-6.5) and total study sample. However, it should be acknowledged that still almost half of the variance in HWP remained unexplained by either test. Thus, ambulatory monitoring likely includes aspects of community ambulation not captured in the clinic, and it is advised to be considered as an addi- tional outcome for evaluating the impact of interven- tions in MS.","heterogeneity in the ambulatory MS population, Multiple Sclerosis Walking Scale (MSWS-12) not systematically included, small sample size  ",,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,yes,mixed,yes,mixed,"MI (s, ns, s), TUG (s, ns, s), T25FW (s, ns, s), 2MWT (s, ns, s), 6MWT (s, s, s), BBS (s, ns, s), MSIS-29 (s, ns, ns), RMI (s, ns, s), SF-36PF (s, ns, ns), APA (s, s, s) [results for MS total, mild MS and moderate MS respectively]",no,,no,,no,,,no,,no,,no,,no,
Bourguignon,"Sosnoff J.J., Goldman M.D., Motl R.W.",2010,"Sosnoff et al, 2010",Real-life walking impairment in multiple sclerosis: Preliminary comparison of four methods for processing accelerometry data,10.1177/1352458510373111,English,"70 (Self-reported disability status: mild: n=33, moderate: n=20, 
severe: n=17)",,70,"70 (80.0)
(Self-reported disability status: 
mild: n=33, 
moderate: n=20, 
severe: n=17)",80,56,"56 
(Self-reported disability status: 
mild: n=27, 
moderate: n=20, 
severe: n=9)","Self-reported disability status: 
mild: 47.4 (10.1), 
moderate: 49.4 (13.1), 
severe: 53.2 (10.3)","RR: n=56, 
PP: n=1,
SP: n=13 ",,"SR-EDSS: 
mild: 2.1 (0.77),
moderate: 5.05 (0.53),
severe: 6.02 (0.12)","Self-reported disability status: 
mild: 10.3 (8.4), 
moderate: 10.7 (9.6), 
severe: 11.5 (5.1)",not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164 version),NA,1,"(i) Excel, 
(ii) MATLAB, 
(iii) SPSS for Windows (17.0)",NA,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),"during the waking hours (at home), included data from the accelerometer that was accumulated across a 12-h period between the hours of 0800 and 2000 ",real-world,0,NA,NA,NA,NA,Yes,,Yes,7 consecutive days,7 days,,accelerometer data and battery of patient-rated measures of walking impairment (see traditional MS outcomes column),"Pearson product-
moment correlations and Spearman rho rank-order correlations",,"mean, sd and range for outcomes; detrented fluctuation analysis; approximation entropy of daily mouvements counts; wilk's lambda, f statistics and corresponding pvalues; estimate of variance accounted for by the between-subjects factor; Cohen's d (difference between groups) and associated pvalues; ","accelerometry metrics : OTAL, Average total of daily movement counts; SD, Standard deviation of daily movement counts; DFA, Detrended fluctuation analysis of daily movement counts; ApEn, Approximate entropy of daily movement counts.","MSWS-12, Multiple Sclerosis Walking Scale-12; PS, Performance Scales; SI, Symptom Inventory; BLEF, Basic Lower Extremity Function subscale; ALEF, Advanced Lower Extremity Function subscale; LL-FDI, Late-Life Function and Disability Inventory,  Self-reported Expanded Disability Status Scale (SR-EDSS); ","The results confirm that the metric of total daily movement counts correlates with level of disability, ambulatory status, and patient reports of walking impairment in persons with multiple sclerosis. We further demonstrate that variability, indexed by the standard deviation of daily movement counts, correlates with multiple sclerosis-related disability, ambulatory status, and self-reported walking impairment. Such results provide preliminary evidence that variability in accelerometer counts is not simply noise and may provide important information about multiple sclerosis-related walking impairment.","small sample size; sample of primarily middle-aged, well-educated, Caucasian women which limits generalization;  did not include a sample of persons without MS that would serve as controls, particularly for comparisons of the accelerometer metrics in those with mild MS; included a single brand and model of accelerometer, namely the ActiGraph, model 7164, which is uniaxial and not triaxia; only included data for a 12-h period and we potentially missed walking of those who awoke earlier or later in the day;  included a self-report version of the EDSS for classifying mild, moderate, and severe disability status",,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,"MSWS-12, M-PS, SI, BLEF of LL-FDI, ALEF of LL-FDI",no,,yes,mixed,no,,,no,,no,,no,,no,
