"Title","Original Title","Author Names","AiP/IP Entry Date","Full Record Entry Date","Source","Source title","Publication Year","Volume","Issue","First Page","Last Page","Date of Publication","Publication Type","DOI"
"Spatiotemporal gait changes in people with multiple sclerosis with different disease progression subtypes",,"Sato S.D., Hiroi Y., Zoppo D., Buonaccorsi J., Miehm J.D., van Emmerik R.E.A.","2022-11-28","2022-12-01","Clinical Biomechanics (2022) 100 Article Number: 105818. Date of Publication: 1 Dec 2022","Clinical Biomechanics","2022","100",,,,"1 Dec 2022","Article",10.1016/j.clinbiomech.2022.105818
"Six-Minute Walk as a Measure of Walking Capacity and Endurance in Patients with Pediatric-Onset Multiple Sclerosis",,"Brenton J.N., Florenzo B., Koshiya H., Min S., Woolbright E., Coleman R., Chen S., Goldman M.","2022-12-05","2022-12-07","Neurology (2022) 99:19 (E2161-E2170). Date of Publication: 8 Nov 2022","Neurology","2022","99","19","E2161","E2170","8 Nov 2022","Article",10.1212/WNL.0000000000201098
"Autoimmune neuroinflammation triggers mitochondrial oxidation in oligodendrocytes",,"Steudler J., Ecott T., Ivan D.C., Bouillet E., Walthert S., Berve K., Dick T.P., Engelhardt B., Locatelli G.","2022-07-01",,"GLIA (2022) 70:11 (2045-2061). Date of Publication: 1 Nov 2022","GLIA","2022","70","11","2045","2061","1 Nov 2022","Article",10.1002/glia.24235
"The Use of Smartphone Keystroke Dynamics to Passively Monitor Upper Limb and Cognitive Function in Multiple Sclerosis: Longitudinal Analysis",,"Lam K.-H., Twose J., Lissenberg-Witte B., Licitra G., Meijer K., Uitdehaag B., De Groot V., Killestein J.","2022-11-28","2022-12-02","Journal of Medical Internet Research (2022) 24:11 Article Number: e37614. Date of Publication: 1 Nov 2022","Journal of Medical Internet Research","2022","24","11",,,"1 Nov 2022","Article",10.2196/37614
"Digital Devices for Assessing Motor Functions in Mobility-Impaired and Healthy Populations: Systematic Literature Review",,"Guo C.C., Chiesa P.A., de Moor C., Fazeli M.S., Schofield T., Hofer K., Belachew S., Scotland A.","2022-12-30",,"Journal of Medical Internet Research (2022) 24:11 Article Number: e37683. Date of Publication: 1 Nov 2022","Journal of Medical Internet Research","2022","24","11",,,"1 Nov 2022","Review",10.2196/37683
"Longitudinal changes to communicative participation in ALS",,"Connaghan K., Green J., Haenssler A., Johnson S., Scheier Z., Keegan M., Clark A., Iyer A., Burke K., Berry J.",,"2022-12-16","Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration (2022) 23 Supplement 1 (151). Date of Publication: 1 Nov 2022","Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration","2022","23",,"151",,"1 Nov 2022","Conference Abstract",10.1080/21678421.2022.2120686
"Tau seeding in cases of multiple sclerosis",,"LaCroix M.S., Mirbaha H., Shang P., Zandee S., Foong C., Prat A., White C.L., Stuve O., Diamond M.I.","2022-10-18","2022-10-20","Acta neuropathologica communications (2022) 10:1 (146). Date of Publication: 11 Oct 2022","Acta neuropathologica communications","2022","10","1","146",,"11 Oct 2022","Article",10.1186/s40478-022-01444-2
"A Smartphone Application to Assess Real-Time and Individual-Specific Societal Participation: A Development and Usability Study",,"Ouwerkerk M., Eijssen I.C.J.M., van der Linden M.M.W., Wijnands I.M., Dorssers F.J.G., Rietberg M.B., Beckerman H., de Groot V.","2022-05-04","2022-09-30","Archives of Physical Medicine and Rehabilitation (2022) 103:10 (1958-1966). Date of Publication: 1 Oct 2022","Archives of Physical Medicine and Rehabilitation","2022","103","10","1958","1966","1 Oct 2022","Article",10.1016/j.apmr.2022.01.168
"Overview on microfluidics devices for monitoring brain disorder biomarkers",,"Nix C., Ghassemi M., Crommen J., Fillet M.","2022-06-16","2022-11-23","TrAC - Trends in Analytical Chemistry (2022) 155 Article Number: 116693. Date of Publication: 1 Oct 2022","TrAC - Trends in Analytical Chemistry","2022","155",,,,"1 Oct 2022","Review",10.1016/j.trac.2022.116693
"Social cognitive correlates of device-measured and self-reported physical activity in Black and White individuals with multiple sclerosis",,"Kinnett-Hopkins D., Motl R.","2022-06-29","2022-11-15","Disability and Health Journal (2022) 15:4 Article Number: 101344. Date of Publication: 1 Oct 2022","Disability and Health Journal","2022","15","4",,,"1 Oct 2022","Article",10.1016/j.dhjo.2022.101344
"Sedentary Behavior and Lower-Extremity Physical Function across the Lifespan of Adults with Multiple Sclerosis",,"Jeng B., Šilić P., Huynh T.L.T., Motl R.W.","2022-10-24","2022-10-31","International Journal of Environmental Research and Public Health (2022) 19:19 Article Number: 12466. Date of Publication: 1 Oct 2022","International Journal of Environmental Research and Public Health","2022","19","19",,,"1 Oct 2022","Article",10.3390/ijerph191912466
"An Electric Wheelchair Manipulating System Using SSVEP-Based BCI System",,"Chen W., Chen S.-K., Liu Y.-H., Chen Y.-J., Chen C.-S.","2022-10-31","2022-11-08","Biosensors (2022) 12:10 Article Number: 772. Date of Publication: 1 Oct 2022","Biosensors","2022","12","10",,,"1 Oct 2022","Article",10.3390/bios12100772
"Toward In Vivo MRI of the Tissue Proton Exchange Rate in Humans",,"Shaghaghi M., Cai K.","2022-10-31","2022-11-07","Biosensors (2022) 12:10 Article Number: 815. Date of Publication: 1 Oct 2022","Biosensors","2022","12","10",,,"1 Oct 2022","Review",10.3390/bios12100815
"Deep blue autofluorescence reflects the oxidation state of human transthyretin",,"Wieczorek E., Wygralak Z., Kędracka-Krok S., Bezara P., Bystranowska D., Dobryszycki P., Ożyhar A.","2022-08-23","2022-10-21","Redox Biology (2022) 56 Article Number: 102434. Date of Publication: 1 Oct 2022","Redox Biology","2022","56",,,,"1 Oct 2022","Article",10.1016/j.redox.2022.102434
"Impact of the COVID-19 Pandemic on Physical Activity and Associated Technology Use in Persons With Multiple Sclerosis: An International RIMS-SIG Mobility Survey Study",,"Moumdjian L., Smedal T., Arntzen E.C., van der Linden M.L., Learmonth Y., Pedullà L., Tacchino A., Novotna K., Kalron A., Yazgan Y.Z., Nedeljkovic U., Kos D., Jonsdottir J., Santoyo-Medina C., Coote S.","2022-08-30","2022-10-03","Archives of Physical Medicine and Rehabilitation (2022) 103:10 (2009-2015). Date of Publication: 1 Oct 2022","Archives of Physical Medicine and Rehabilitation","2022","103","10","2009","2015","1 Oct 2022","Article",10.1016/j.apmr.2022.06.001
"Performance of a multi-sensor wearable system for validating gait assessment: preliminary results on patients and healthy",,"Salis F., Bonci T., Bertuletti S., Caruso M., Scott K., Buckley E., Alcock L., Del Din S., Rochester L., Gazit E., Hausdorff J.M., Hansen C., Maetzler W., Schwickert L., Becker C., Mazzà C., Cereatti A.",,"2022-10-10","Gait and Posture (2022) 97 Supplement 2 (13). Date of Publication: 1 Oct 2022","Gait and Posture","2022","97",,"13",,"1 Oct 2022","Conference Abstract",10.1016/j.gaitpost.2022.09.027
"Evaluating balance disorders with different levels of walking impairment in Multiple Sclerosis: correlation between IMU-based parameters and clinical scales",,"Bustos A.S.O., Tramontano M., Belluscio V., Bergamini E., Argento O., Bossa M., Piacentini C., Nocentini U., Vannozzi G.",,"2022-10-10","Gait and Posture (2022) 97 Supplement 2 (4-5). Date of Publication: 1 Oct 2022","Gait and Posture","2022","97",,"4","5","1 Oct 2022","Conference Abstract",10.1016/j.gaitpost.2022.09.014
"Upper limb movement during locomotion in patients with neurological disorders: a wearable-based approach",,"De Angelis M., Belluscio V., Orejel-Bustos A., Tramontano M., Vannozzi G., Bergamini E.",,"2022-10-10","Gait and Posture (2022) 97 Supplement 2 (41). Date of Publication: 1 Oct 2022","Gait and Posture","2022","97",,"41",,"1 Oct 2022","Conference Abstract",10.1016/j.gaitpost.2022.09.067
"Gait smoothness using wearable sensors in patients with neurological disorders: a comparison of different metrics",,"Montemurro R., Bergamini E., Orejel-Bustos A., Belluscio V., Tramontano M., Vannozzi G.",,"2022-10-10","Gait and Posture (2022) 97 Supplement 2 (17-18). Date of Publication: 1 Oct 2022","Gait and Posture","2022","97",,"17","18","1 Oct 2022","Conference Abstract",10.1016/j.gaitpost.2022.09.034
"Connecting real-world digital mobility assessment to clinical outcomes for regulatory and clinical endorsement–the Mobilise-D study protocol",,"Mikolaizak A.S., Rochester L., Maetzler W., Sharrack B., Demeyer H., Mazzà C., Caulfield B., Garcia-Aymerich J., Vereijken B., Arnera V., Miller R., Piraino P., Ammour N., Gordon M.F., Troosters T., Yarnall A.J., Alcock L., Gaßner H., Winkler J., Klucken J., Schlenstedt C., Watz H., Kirsten A.-M., Vogiatzis I., Chynkiamis N., Hume E., Megaritis D., Nieuwboer A., Ginis P., Buckley E., Brittain G., Comi G., Leocani L., Helbostad J.L., Johnsen L.G., Taraldsen K., Blain H., Driss V., Frei A., Puhan M.A., Polhemus A., de Basea M.B., Gimeno E., Hopkinson N.S., Buttery S.C., Hausdorff J.M., Mirelman A., Evers J., Neatrour I., Singleton D., Schwickert L., Becker C., Jansen C.-P.","2022-10-18","2022-10-26","PLoS ONE (2022) 17:10 October Article Number: e0269615. Date of Publication: 1 Oct 2022","PLoS ONE","2022","17","10 October",,,"1 Oct 2022","Article",10.1371/journal.pone.0269615
"The impact of COVID-19 pandemic on physical activity in persons with multiple sclerosis: an international RIMSSIG Mobility study",,"Moumdjian L., Smedal T., Christin Arntzen E., Van Der Linden M., Learmonth Y., Pedullà L., Tacchino A., Novotna K., Kalron A., Yazgan Y.Z., Nedeljkovic U., Kos D., Jonsdottir J., Santoyo-Medina C., Coote S.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (684-685). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","684","685","1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Changes in sedentary behaviour and physical activity in response to an exercise intervention in persons with multiple sclerosis",,"Nieste I., Spaas J., Van Asch P., Eijnde B.O.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (685-686). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","685","686","1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Identification of distinct adherence profiles for smartphone sensor-based tests (Floodlight) in a study of people with progressive multiple sclerosis (CONSONANCE)",,"Pointeau G., Dondelinger F., Clinch S., Davies G., Craveiro L.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (214). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","214",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Can we detect radiological disease activity in multiple sclerosis using digital biomarkers?",,"Molenaar P.C.G., Van Oirschot P., Bucur I., Lam K., Moraal B., Heskes T., De Groot V., Uitdehaag B., Killestein J., Strijbis E.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (595). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","595",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Performance differences observed with fixed versus dynamic reference keys within Konectom smartphonebased cognitive processing speed test",,"Zajac L., Chiesa P.A., Deloire M., Scaramozza M., Sun Z., Tang M., Juraver A., Bartholome E., Saubusse A., Charre Morin J., Campbell N., Van Beek J., Guymard T., Scotland A., Brochet B., Belachew S., Ruet A.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (160). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","160",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Association between frailty and free-living walking performance in people with multiple sclerosis: a multicenter cross-sectional study",,"Zanotto T., Galperin I., Mirelman A., Chen L., Regev K., Karni A., Schmitz-Hubsch T., Paul F., Lynch S.G., Akinwuntan A.E., Devos H., Hausdorff J.M., Sosnoff J.J.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (191-192). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","191","192","1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Analytical validation of innovative magneto-inertial outcomes: a controlled environment study",,"Poleur M., Tricot A., Médard L., Gevenois N., Lozeve D., Maertens De Noordhout A., Bouquiaux O., Lommers E., Michaud M., Annoussamy M., Servais L.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (193). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","193",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"The rapid disability assessment for patients with relapsing forms of MS: a pilot study",,"Kramer J., Ruby K.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (710). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","710",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123682
"Sensor-based gait analysis using mobile phones is useful for the assessment of fatigue in patients with multiple sclerosis - a proof of concept study",,"Schönherr C., Strauss S., Ziegler J., Zentek T., Rashid A., Tallner A., Grothe M.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (710-711). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","710","711","1 Oct 2022","Conference Abstract",10.1177/13524585221123682
"Moving MS: activity profiles are linked with disability scores, a cross-sectional study",,"Hilty M., Pietro O., Barrios L., Blumer C., Müller T., Holz C., Lutterotti A.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (714-715). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","714","715","1 Oct 2022","Conference Abstract",10.1177/13524585221123682
"Exploring the utility of ActiGraph in measuring gait impairment and physical activity in patients with MS using digital biomarkers",,"Abou Zeid E., Jiang X., Orogun L., Sarker H., Syed S.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (742-743). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","742","743","1 Oct 2022","Conference Abstract",10.1177/13524585221123682
"A prospective study of the feasibility of smartphone-based self-monitoring to characterise cognitive and neurological impairment in people with multiple sclerosis: Floodlight MS moreactive",,"Van Der Walt A., Butzkueven H., Barnett M., Darby D., Denos X., Dondelinger F., Gresle M., Hubeaux S., Merlo D., Opie J., Vogel A.P., Zhu C., Statovci I., Craveiro L.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (743). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","743",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123682
"Moving beyond the number of correct responses as an outcome measure in symbol-digit substitution testing using KonectomTM smartphone-based cognitive processing speed test",,"Scaramozza M., Chiesa P.A., Deloire M., Zajac L., Sun Z., Tang M., Juraver A., Bartholome E., Saubusse A., Charre Morin J., Campbell N., Van Beek J., Guymard T., Scotland A., Brochet B., Belachew S., Ruet A.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (909). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","909",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123682
"Remote observational research for MS: a natural experiment",,"Bove R., Poole S., Cuneo R., Gupta S., Sabatino J., Harms M., Cooper T., Gomez R., McPolin K., Powers K., Lincoln R., Rowles W., Miller N., Caverzasi E., Santaniello A., Renschen A., Stern W., Bevan C., Gelfand J., Goodin D., Green A., Guo C.-Y., Henry R., Hollenbach J., Romeo A., Wilson M., Zamvil S., Hauser S., Cree B.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (106-107). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","106","107","1 Oct 2022","Conference Abstract",10.1177/13524585221123685
"Assessment of upper extremity function and performance fatigability in multiple sclerosis using sensor-based features derived from the smartphone-based pinching test",,"Graves J.S., Elantkowski M., Zhang Y.-P., Dondelinger F., Lipsmeier F., Bernasconi C., Montalban X., Midaglia L., Lindemann M.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (108-109). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","108","109","1 Oct 2022","Conference Abstract",10.1177/13524585221123685
"Development of an active biosensing digital application (App) for monitoring fingers' functions",,"Greenberg Abrahami M., Shirbint E., Magalashvili D., Didikin M., Dreyer-Alster S., Achiron A.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (886). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","886",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123682
"Innovations in technology for rehabilitation",,"Feys P.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (88). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","88",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123685
"Assessment of dose-dependency of anti-inflammatory and neuroprotective efficacy variables and biomarkers for vidofludimus calcium in emphasis: a randomized, placebo-controlled phase 2 trial in relapsing-remitting multiple sclerosis",,"Fox R.J., Wiendl H., Wolf C., De Stefano N., Sellner J., Gryb V., Rejdak K., Stoyanov Bozhinov P., Tomakh N., Skrypchenko I., Muehler A.R.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (93-94). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","93","94","1 Oct 2022","Conference Abstract",10.1177/13524585221123685
"Wearable technology in MS",,"Tacchino A.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (60). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","60",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123685
"Tapping speed in smartphone is useful for detection of progressive multiple sclerosis",,"Chico Garcia J.L., Monreal E., Sainz de la Maza Cantero S., Rodriguez-Jorge F., Sainz-Amo R., Villar L.M., Masjuan J., Costa-Frossard França L.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (61). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","61",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123685
"Correlation between gait parameters for stand phase and push-off with gait distance in people with MS How can the use of wearable technology contribute in a physiotherapeutic setting?",,"Klyve T.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (62-63). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","62","63","1 Oct 2022","Conference Abstract",10.1177/13524585221123685
"Digital biomarkers are associated with regional brain atrophy in radiologically isolated syndrome",,"Cohen M., Mondot L., Landes C., Fakir S., Lebrun Frenay C.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (319-320). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","319","320","1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"The eye as a digital biomarker for multiple sclerosis: oculomotor behaviours yield a novel digital biomarker for detecting and monitoring high-level motor and cognitive alterations",,"Fernandez G., Echevarria G., Shulz M., Sgrilli G., Linares R.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (321). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","321",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Abnormal thalamic functional connectivity correlates with cardiorespiratory fitness and physical activity in progressive multiple sclerosis",,"Romanò F., Rocca M.A., Valsasina P., Amato M.P., Brichetto G., Bruschi N., Chataway J., Chiaravalloti N.D., Cutter G., Dalgas U., DeLuca J., Farrell R., Feys P., Freeman J., Inglese M., Meza C., Salter A., Sandroff B.M., Feinstein A., Motl R.W., Filippi M.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (394-395). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","394","395","1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Validation of the MS-IADL-Q to measure cognitive functioning in daily life",,"Van Dam M., Sikkes S.A., Postema M.C., Schokker M.G., Geurts J.J., Uitdehaag B.M., Hulst H.E.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (479-480). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","479","480","1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Telehealth use during the COVID-19 pandemic, analysis from the australian multiple sclerosis longitudinal survey",,"Learmonth Y., Galna B., Laslett L., Van Der Mei I., Marck C.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (408). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","408",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"Remote passive monitoring in people living with progressive multiple sclerosis during the COVID-19 pandemic shows a measurable reduction in daily activity",,"Usdin M., Dondelinger F., Kriara L., Pointeau G., Lipsmeier F., Jia X., Craveiro L.",,"2022-11-25","Multiple Sclerosis Journal (2022) 28:3 Supplement (492). Date of Publication: 1 Oct 2022","Multiple Sclerosis Journal","2022","28","3","492",,"1 Oct 2022","Conference Abstract",10.1177/13524585221123687
"How Much Data Is Enough? A Reliable Methodology to Examine Long-Term Wearable Data Acquisition in Gait and Postural Sway",,"Meyer B.M., Depetrillo P., Franco J., Donahue N., Fox S.R., O'Leary A., Loftness B.C., Gurchiek R.D., Buckley M., Solomon A.J., Ng S.K., Cheney N., Ceruolo M., McGinnis R.S.","2022-09-28","2022-09-30","Sensors (Basel, Switzerland) (2022) 22:18. Date of Publication: 15 Sep 2022","Sensors (Basel, Switzerland)","2022","22","18",,,"15 Sep 2022","Article",10.3390/s22186982
"Effect of a passive hip exoskeleton on walking distance in neurological patients",,"Panizzolo F.A., Cimino S., Pettenello E., Belfiore A., Petrone N., Marcolin G.","2021-02-09","2022-10-07","Assistive technology : the official journal of RESNA (2022) 34:5 (527-532). Date of Publication: 3 Sep 2022","Assistive technology : the official journal of RESNA","2022","34","5","527","532","3 Sep 2022","Article",10.1080/10400435.2021.1880494
"Exploring the role of nanomedicines for the therapeutic approach of central nervous system dysfunction: At a glance",,"Rhaman M.M., Islam M.R., Akash S., Mim M., Noor alam M., Nepovimova E., Valis M., Kuca K., Sharma R.","2022-09-23","2022-12-22","Frontiers in Cell and Developmental Biology (2022) 10 Article Number: 989471. Date of Publication: 2 Sep 2022","Frontiers in Cell and Developmental Biology","2022","10",,,,"2 Sep 2022","Review",10.3389/fcell.2022.989471
"Objectively assessed physiological, physical, and cognitive function along with patient-reported outcomes during the first 2 years of Alemtuzumab treatment in multiple sclerosis: a prospective observational study",,"Hvid L.G., Stenager E., Dalgas U.","2022-05-03","2022-09-02","Journal of Neurology (2022) 269:9 (4895-4908). Date of Publication: 1 Sep 2022","Journal of Neurology","2022","269","9","4895","4908","1 Sep 2022","Article",10.1007/s00415-022-11134-7
