Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kazemi, S.M., Rakhshan, M., Rivaz, M., Izadi, S.","57220745561;55758218600;26658678000;55571957100;","The effects of continuous care model using a smartphone application on adherence to treatment and self-efficacy among patients with multiple sclerosis",2022,"BMC Medical Informatics and Decision Making","22","1","53","","",,2,"10.1186/s12911-022-01785-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125520860&doi=10.1186%2fs12911-022-01785-x&partnerID=40&md5=93e525c1aebf3aff54697f439d0f7086",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85125520860
"Brenton, J.N., Florenzo, B., Koshiya, H., Min, S., Woolbright, E., Coleman, R., Chen, S., Goldman, M.","55915610900;57670351800;57372096600;57215000979;57208130925;57211430650;57638956200;57210530795;","Six-Minute Walk as a Measure of Walking Capacity and Endurance in Patients with Pediatric-Onset Multiple Sclerosis",2022,"Neurology","99","19",,"E2161","E2170",,,"10.1212/WNL.0000000000201098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142894194&doi=10.1212%2fWNL.0000000000201098&partnerID=40&md5=03146d013723c4a4a45bf9ad97925ebb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85142894194
"Guo, C.C., Chiesa, P.A., de Moor, C., Fazeli, M.S., Schofield, T., Hofer, K., Belachew, S., Scotland, A.","57973274400;57972850000;7005063813;56579103600;57972850100;57214867774;6603818257;57195630269;","Digital Devices for Assessing Motor Functions in Mobility-Impaired and Healthy Populations: Systematic Literature Review",2022,"Journal of Medical Internet Research","24","11","e37683","","",,,"10.2196/37683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142376021&doi=10.2196%2f37683&partnerID=40&md5=f1d5d4fcc0658bea9da929352a2180b4",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85142376021
"Lam, K.-H., Twose, J., Lissenberg-Witte, B., Licitra, G., Meijer, K., Uitdehaag, B., De Groot, V., Killestein, J.","57202955852;57220109301;57204744042;57193579985;56583871500;7006076844;6701620344;7004423164;","The Use of Smartphone Keystroke Dynamics to Passively Monitor Upper Limb and Cognitive Function in Multiple Sclerosis: Longitudinal Analysis",2022,"Journal of Medical Internet Research","24","11","e37614","","",,1,"10.2196/37614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141891439&doi=10.2196%2f37614&partnerID=40&md5=92354e505a6deb8aca25478e86789e53",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85141891439
"Steudler, J., Ecott, T., Ivan, D.C., Bouillet, E., Walthert, S., Berve, K., Dick, T.P., Engelhardt, B., Locatelli, G.","57222567182;57765211600;57221353434;57898250400;57221355052;57194146755;7102342039;7006652328;55007570200;","Autoimmune neuroinflammation triggers mitochondrial oxidation in oligodendrocytes",2022,"GLIA","70","11",,"2045","2061",,2,"10.1002/glia.24235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132908526&doi=10.1002%2fglia.24235&partnerID=40&md5=a0a696cbe2fce5687147d90f6dc49605",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85132908526
"Warmerdam, E., Hansen, C., Romijnders, R., Hobert, M.A., Welzel, J., Maetzler, W.","57203006155;55604204900;57211818042;54580989700;57214776261;55887146800;","Full-Body Mobility Data to Validate Inertial Measurement Unit Algorithms in Healthy and Neurological Cohorts",2022,"Data","7","10","136","","",,,"10.3390/data7100136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140824685&doi=10.3390%2fdata7100136&partnerID=40&md5=1dde8571bae36b48099874ed4e6c3fb4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85140824685
"Jeng, B., Šilić, P., Huynh, T.L.T., Motl, R.W.","57203958928;57358269300;57222247044;7004580855;","Sedentary Behavior and Lower-Extremity Physical Function across the Lifespan of Adults with Multiple Sclerosis",2022,"International Journal of Environmental Research and Public Health","19","19","12466","","",,,"10.3390/ijerph191912466","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139811717&doi=10.3390%2fijerph191912466&partnerID=40&md5=ac8d4eeda488b3c664de6f25a88f07fc",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85139811717
"Mikolaizak, A.S., Rochester, L., Maetzler, W., Sharrack, B., Demeyer, H., Mazzà, C., Caulfield, B., Garcia-Aymerich, J., Vereijken, B., Arnera, V., Miller, R., Piraino, P., Ammour, N., Gordon, M.F., Troosters, T., Yarnall, A.J., Alcock, L., Gaßner, H., Winkler, J., Klucken, J., Schlenstedt, C., Watz, H., Kirsten, A.-M., Vogiatzis, I., Chynkiamis, N., Hume, E., Megaritis, D., Nieuwboer, A., Ginis, P., Buckley, E., Brittain, G., Comi, G., Leocani, L., Helbostad, J.L., Johnsen, L.G., Taraldsen, K., Blain, H., Driss, V., Frei, A., Puhan, M.A., Polhemus, A., de Basea, M.B., Gimeno, E., Hopkinson, N.S., Buttery, S.C., Hausdorff, J.M., Mirelman, A., Evers, J., Neatrour, I., Singleton, D., Schwickert, L., Becker, C., Jansen, C.-P.","35743587400;7003666082;55887146800;6603604950;55863300500;7006089519;6602906583;6603421917;6603601384;6602287516;8242689500;57215027903;56418362700;57290925400;34574154900;26665224800;55437030000;56397984200;7202100756;6603201965;56488004600;16508173900;6603076087;55791244500;57201277098;57209717469;57221520923;6701466631;55555011300;57194452409;57218219112;7201788288;26643042800;55885414600;7004866178;35743889100;16687865700;56971576800;7005251127;56365235600;57194482466;24512259100;57207607276;7005480207;57193241819;7006799695;35332484600;56270890000;57195757963;57193511575;54585982500;7402823061;56637807000;","Connecting real-world digital mobility assessment to clinical outcomes for regulatory and clinical endorsement–the Mobilise-D study protocol",2022,"PLoS ONE","17","10 October","e0269615","","",,,"10.1371/journal.pone.0269615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139376787&doi=10.1371%2fjournal.pone.0269615&partnerID=40&md5=18ac5aecb3da013f7652e5437c921fd7",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85139376787
"Moumdjian, L., Smedal, T., Arntzen, E.C., van der Linden, M.L., Learmonth, Y., Pedullà, L., Tacchino, A., Novotna, K., Kalron, A., Yazgan, Y.Z., Nedeljkovic, U., Kos, D., Jonsdottir, J., Santoyo-Medina, C., Coote, S.","57193345635;6505935744;57204128584;7102355782;55001855000;55774130800;16246150800;56039912900;24504227700;57212679943;35107650700;6603196344;15845677800;57217629986;6602164994;","Impact of the COVID-19 Pandemic on Physical Activity and Associated Technology Use in Persons With Multiple Sclerosis: An International RIMS-SIG Mobility Survey Study",2022,"Archives of Physical Medicine and Rehabilitation","103","10",,"2009","2015",,2,"10.1016/j.apmr.2022.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136301007&doi=10.1016%2fj.apmr.2022.06.001&partnerID=40&md5=35cfe143a1d3d4455d0026314150cd5c",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85136301007
"Kinnett-Hopkins, D., Motl, R.","56473664600;7004580855;","Social cognitive correlates of device-measured and self-reported physical activity in Black and White individuals with multiple sclerosis",2022,"Disability and Health Journal","15","4","101344","","",,,"10.1016/j.dhjo.2022.101344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132792506&doi=10.1016%2fj.dhjo.2022.101344&partnerID=40&md5=28fe9c801597b7e1c941ba5b01e21751",Article,"Final","",Scopus,2-s2.0-85132792506
"Nix, C., Ghassemi, M., Crommen, J., Fillet, M.","57205340025;57735898600;7005287080;57202624121;","Overview on microfluidics devices for monitoring brain disorder biomarkers",2022,"TrAC - Trends in Analytical Chemistry","155",,"116693","","",,3,"10.1016/j.trac.2022.116693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131766096&doi=10.1016%2fj.trac.2022.116693&partnerID=40&md5=36c57aa9f6180f5ffeb32e18eb449ebd",Review,"Final","",Scopus,2-s2.0-85131766096
"Ouwerkerk, M., Eijssen, I.C.J.M., van der Linden, M.M.W., Wijnands, I.M., Dorssers, F.J.G., Rietberg, M.B., Beckerman, H., de Groot, V.","57324513500;55850367800;57653082200;57280871300;57356520500;6602947411;7004448667;6701620344;","A Smartphone Application to Assess Real-Time and Individual-Specific Societal Participation: A Development and Usability Study",2022,"Archives of Physical Medicine and Rehabilitation","103","10",,"1958","1966",,,"10.1016/j.apmr.2022.01.168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128996742&doi=10.1016%2fj.apmr.2022.01.168&partnerID=40&md5=c753aebdfd3aac34a8793d565cdb91c3",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85128996742
"Tønning, L.U., Mechlenburg, I., Christiansen, D.H., Andersen, N.-B.V., Stabel, H.H., Pedersen, A.R., Nielsen, J.F., Grimm, B., Næss-Schmidt, E.","57208104554;8201912700;57205496938;57932131000;6701753505;57202633698;7404066238;8670462800;55949999600;","Disability and physical activity in people with chronic disease receiving physiotherapy. A prospective cohort study",2022,"Frontiers in Sports and Active Living","4",,"1006422","","",,1,"10.3389/fspor.2022.1006422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140083172&doi=10.3389%2ffspor.2022.1006422&partnerID=40&md5=8f8d6a5914b5d783eb1b18d768a49e5d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85140083172
"Fox, F.A.U., Diers, K., Lee, H., Mayr, A., Reuter, M., Breteler, M.M.B., Aziz, N.A.","57898275500;23102648900;7501491111;54913038900;57213937447;7101734115;56210398900;","Association Between Accelerometer-Derived Physical Activity Measurements and Brain Structure: A Population-Based Cohort Study",2022,"Neurology","99","11",,"E1202","E1215",,1,"10.1212/WNL.0000000000200884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138441344&doi=10.1212%2fWNL.0000000000200884&partnerID=40&md5=e8273ef57b7dbe053a14a825535ac976",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85138441344
"Singh, R., Pandey, S.","57215038011;7402453331;","Movement disorder in demyelinating disease: Tracing the Charcot's foot print",2022,"Annals of Indian Academy of Neurology","25","5",,"821","831",,1,"10.4103/aian.aian_64_22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144577312&doi=10.4103%2faian.aian_64_22&partnerID=40&md5=a2fad81eb91e1c3ffe22c91825835b13",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85144577312
"Lautman, Z., Lev-Ari, S.","57211252556;14017933900;","The Use of Smart Devices for Mental Health Diagnosis and Care",2022,"Journal of Clinical Medicine","11","18","5359","","",,1,"10.3390/jcm11185359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138553381&doi=10.3390%2fjcm11185359&partnerID=40&md5=f3ec372a183dfb46956d776e1cdedafb",Editorial,"Final","All Open Access, Gold",Scopus,2-s2.0-85138553381
"Sasaki, J.E., Bertochi, G.F.A., Meneguci, J., Motl, R.W.","18134588400;57610904900;55795606700;7004580855;","Pedometers and Accelerometers in Multiple Sclerosis: Current and New Applications",2022,"International Journal of Environmental Research and Public Health","19","18","11839","","",,1,"10.3390/ijerph191811839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138415714&doi=10.3390%2fijerph191811839&partnerID=40&md5=254b4f81df9e29206d7a2741ea53e217",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85138415714
"Meyer, B.M., Depetrillo, P., Franco, J., Donahue, N., Fox, S.R., O’Leary, A., Loftness, B.C., Gurchiek, R.D., Buckley, M., Solomon, A.J., Ng, S.K., Cheney, N., Ceruolo, M., McGinnis, R.S.","57210898550;56743131000;57192913321;57226376113;57364569900;57908585000;57345878500;57189988573;57897614200;36115140000;57897373400;55838037900;57192921802;37077700000;","How Much Data Is Enough? A Reliable Methodology to Examine Long-Term Wearable Data Acquisition in Gait and Postural Sway",2022,"Sensors","22","18","6982","","",,,"10.3390/s22186982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138352120&doi=10.3390%2fs22186982&partnerID=40&md5=d0e6de41c56495e6692df18e1a857a17",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85138352120
"Sakamaki, T., Furusawa, Y., Hayashi, A., Otsuka, M., Fernandez, J.","57891890500;57891914900;57891890600;57891941500;56518790200;","Remote Patient Monitoring for Neuropsychiatric Disorders: A Scoping Review of Current Trends and Future Perspectives from Recent Publications and Upcoming Clinical Trials",2022,"Telemedicine and e-Health","28","9",,"1235","1250",,2,"10.1089/tmj.2021.0489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138125543&doi=10.1089%2ftmj.2021.0489&partnerID=40&md5=b05141f149436a2c9ec98783fab59ca9",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85138125543
"Cederberg, K.L.J., Jeng, B., Sasaki, J.E., Motl, R.W.","57201820421;57203958928;18134588400;7004580855;","Physical Activity and Sedentary Behavior Timing in Fatigued and Nonfatigued Adults With Multiple Sclerosis",2022,"Archives of Physical Medicine and Rehabilitation","103","9",,"1758","1765",,2,"10.1016/j.apmr.2021.12.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124514935&doi=10.1016%2fj.apmr.2021.12.022&partnerID=40&md5=de9b59bee653f38e94fbbfcab33fb674",Article,"Final","",Scopus,2-s2.0-85124514935
"Chikersal, P., Venkatesh, S., Masown, K., Walker, E., Quraishi, D., Dey, A., Goel, M., Xia, Z.","56875395900;57219048228;57222070579;57292406600;57445637200;7101701731;57203848180;36005587400;","Predicting Multiple Sclerosis Outcomes During the COVID-19 Stay-at-home Period: Observational Study Using Passively Sensed Behaviors and Digital Phenotyping",2022,"JMIR Mental Health","9","8","e38495","","",,1,"10.2196/38495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139738655&doi=10.2196%2f38495&partnerID=40&md5=05d11515231df878cbd2491f23e09efc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85139738655
"Arpan, I., Shah, V.V., McNames, J., Harker, G., Carlson-Kuhta, P., Spain, R., El-Gohary, M., Mancini, M., Horak, F.B.","43960889900;56202420700;7004220307;57203576041;6507069866;26028107600;16175043200;14123848900;7102345593;","Fall Prediction Based on Instrumented Measures of Gait and Turning in Daily Life in People with Multiple Sclerosis",2022,"Sensors","22","16","5940","","",,,"10.3390/s22165940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137681293&doi=10.3390%2fs22165940&partnerID=40&md5=ca75d92de15ef3b36555b76b2e44215e",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85137681293
"Majdinasab, M., Marty, J.L.","35574088300;55909455300;","Recent Advances in Electrochemical Aptasensors for Detection of Biomarkers",2022,"Pharmaceuticals","15","8","995","","",,3,"10.3390/ph15080995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137340058&doi=10.3390%2fph15080995&partnerID=40&md5=68282d87fa36902b915fe87fdaece4f8",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85137340058
"Hossen, A., Anwar, A.R., Koirala, N., Ding, H., Budker, D., Wickenbrock, A., Heute, U., Deuschl, G., Groppa, S., Muthuraman, M.","35555691900;54980189200;57038680200;57226675021;7003389497;36244890600;7003283747;26435742300;16052708500;23989112600;","Machine learning aided classification of tremor in multiple sclerosis",2022,"eBioMedicine","82",,"104152","","",,,"10.1016/j.ebiom.2022.104152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133736356&doi=10.1016%2fj.ebiom.2022.104152&partnerID=40&md5=40154827607fcd8b67e1ffe26f203658",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85133736356
"Gervasoni, E., Anastasi, D., Di Giovanni, R., Solaro, C., Rovaris, M., Brichetto, G., Carpinella, I., Confalonieri, P., Tacchino, A., Rabuffetti, M., Cattaneo, D.","57192344544;57204651309;57204240264;7004460718;7005618200;6506371342;16174260800;7004054280;16246150800;6701765925;7003782543;","Physical activity in non-disabled people with early multiple sclerosis: A multicenter cross-sectional study",2022,"Multiple Sclerosis and Related Disorders","64",,"103941","","",,2,"10.1016/j.msard.2022.103941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131663051&doi=10.1016%2fj.msard.2022.103941&partnerID=40&md5=7762c29b8e282be25e4a2ec5ed070b1c",Article,"Final","",Scopus,2-s2.0-85131663051
"Samad Hosseini, S., Jebelli, A., Vandghanooni, S., Jahanban-Esfahlan, A., Baradaran, B., Amini, M., Bidar, N., de la Guardia, M., Mokhtarzadeh, A., Eskandani, M.","55697925500;56989707300;36955821200;35174313900;11640687900;57204954699;57218914757;7006639927;56003316100;36058703900;","Perspectives and trends in advanced DNA biosensors for the recognition of single nucleotide polymorphisms",2022,"Chemical Engineering Journal","441",,"135988","","",,1,"10.1016/j.cej.2022.135988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127218031&doi=10.1016%2fj.cej.2022.135988&partnerID=40&md5=c08dffacf0acafeb240a57182965b31f",Review,"Final","",Scopus,2-s2.0-85127218031
"Gervasoni, E., Bertoni, R., Anastasi, D., Solaro, C., Di Giovanni, R., Grange, E., Gunga, H.-C., Rovaris, M., Cattaneo, D., Maggioni, M.A., Merati, G.","57192344544;54388526500;57204651309;7004460718;57204240264;57214153102;35547963100;7005618200;7003782543;25321187000;6701661034;","Acute Thermoregulatory and Cardiovascular Response to Submaximal Exercise in People With Multiple Sclerosis",2022,"Frontiers in Immunology","13",,"842269","","",,,"10.3389/fimmu.2022.842269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134332540&doi=10.3389%2ffimmu.2022.842269&partnerID=40&md5=8b726cca7a1c12c44d7d5b3e611a8e32",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85134332540
"Heesen, C., Magyari, M., Stellmann, J.P., Lederer, C., Giovannoni, G., Scalfari, A., Daumer, M.","57204341978;36702764800;22836985600;6701617359;34770127900;35741992200;6603872178;","The Sylvia Lawry Centre for Multiple Sclerosis Research (SLCMSR)––Critical review facing the 20 anniversary",2022,"Multiple Sclerosis and Related Disorders","63",,"103885","","",,,"10.1016/j.msard.2022.103885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131076840&doi=10.1016%2fj.msard.2022.103885&partnerID=40&md5=c69db22a65033723854d477af7a757c6",Review,"Final","",Scopus,2-s2.0-85131076840
"Jones, C.D., Jeng, B., Silic, P., Motl, R.W.","57211669002;57203958928;57358269300;7004580855;","Do device-measured physical activity and sedentary behavior differ by depression symptom status in persons with multiple sclerosis?",2022,"Multiple Sclerosis and Related Disorders","63",,"103889","","",,,"10.1016/j.msard.2022.103889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130557107&doi=10.1016%2fj.msard.2022.103889&partnerID=40&md5=4eba70a5f611c7be9e12864f860af789",Article,"Final","",Scopus,2-s2.0-85130557107
"Motl, R.W., Sandroff, B.M., Benedict, R.H.B.","7004580855;41562065700;7102333960;","Moderate-to-vigorous physical activity is associated with processing speed, but not learning and memory, in cognitively impaired persons with multiple sclerosis",2022,"Multiple Sclerosis and Related Disorders","63",,"103833","","",,1,"10.1016/j.msard.2022.103833","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129381225&doi=10.1016%2fj.msard.2022.103833&partnerID=40&md5=0f8cd85da1898341bec9a16d52a63ac8",Article,"Final","",Scopus,2-s2.0-85129381225
"Huynh, T., Jeng, B., Motl, R.W.","57222247044;57203958928;7004580855;","Physical activity and vascular comorbidity in Black and White persons with multiple sclerosis: A cross-sectional study",2022,"Disability and Health Journal","15","3","101314","","",,,"10.1016/j.dhjo.2022.101314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127355508&doi=10.1016%2fj.dhjo.2022.101314&partnerID=40&md5=4802b11df525ead9cb9b4c1f009b60f8",Article,"Final","",Scopus,2-s2.0-85127355508
