,Author.Names,Title,Source.title,Publication.Year,Abstract,Publication.Type,DOI,ID,database,yvonne_included,yvonne_excluded,yvonne_comments,catherine_included,catherine_excluded,catherine_comment,tim,tim_comment
143,"O'Dwyer C., Coote S.",Validity of the sensewear armband and activpal activity monitors in multiple sclerosis,Physiotherapy (United Kingdom),2011,"Purpose: To determine the criterion validity of the Sens Wear Armband (SWA) and ActivPAL (AP) activity monitors as a measure of physical activity (steps and energy expenditure) in persons with multiple sclerosis (PwMS). Relevance: Research has found that PwMS are significantly less physically active than healthy individuals (Motl et al., 2005). The majority of physical activity (PA) research has utilised subjective measurement tools which have notable associated limitations. Accelerometry based activity monitors are thought to provide the optimal objective PA measurement tool. However, no research to date has examined the criterion validity of any such device in PwMS. Participants: 30 subjects with MS and 15 healthy control subjects were recruited through the MS Society and via campus-wide email. Subjects with MS mobilised either independently or with the assistance of one stick (MSA) or with bilateral aids or a walking frame (MSB). Subjects were excluded if they were currently experiencing a worsening of symptoms due to a relapse. Methods: The Oxycon Mobile indirect calorimetry unit was the criterion method of measuring energy expenditure with the proprietary algorithms used to estimate steps and METs. Subjects were fitted with the AP on the mid-thigh, the SWA over the triceps and a facemask attached to the Oxycon Mobile unit. Subjects performed nine ADL activities as follows: dressing, walking, watching television, washing dishes, reading, stair climbing, writing/typing, dusting and folding laundry. Each activity lasted 10 minutes with the exception of stair-climbing which was 5 minute duration. The entire procedure was video recorded and steps taken were manually counted (criterion method). Analysis: Intra-class correlation coefficients and Bland and Altman analysis was used to determine the level of agreement between methods. The percentage error between methods was also calculated. Results: The SWA demonstrated a smaller percentage error (range 0.94% to -29.39%) across groups for step count than the AP (range -31.93% to -34.5%). The mean difference from manual step count for the SWA was 20 steps for the control group, 397 steps for MSA and 320 steps for MSB, as against 695 steps for the control group, 545 steps and 376 steps for the MSA and MSB groups respectively with the AP. The SWA had ICC's of 0.5-0.63 compared to 0.1-0.16 for the AP for METs and a notably smaller mean difference also. Conclusions: The SWA is better than the ActivPAL for measuring both steps and energy expenditure during combined upper and lower limbADL's when using the proprietary algorithms. The validity of the SWA for step count is negatively affected by gait impairment. The AP is a poor estimate of energy expenditure in PwMS. Implications: Future PA research in MS should use the SWA as these results suggest it is a valid estimate of steps and energy expenditure in PwMS. Future research should incorporate PA as an outcome measure in intervention studies examining the effects of exercise interventions in MS.",Conference Abstract,10.1016/J.PHYSIO.2011.04.002,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00319406&id=doi:10.1016%2Fj.physio.2011.04.002&atitle=Validity+of+the+sensewear+armband+and+activpal+activity+monitors+in+multiple+sclerosis&stitle=Physiotherapy&title=Physiotherapy+%28United+Kingdom%29&volume=97&issue=&spage=eS235&epage=eS236&aulast=O%27Dwyer&aufirst=C.&auinit=C.&aufull=O%27Dwyer+C.&coden=&isbn=&pages=eS235-eS236&date=2011&auinit1=C&auinitm=,Embase,Yes,,,no,Abstract,,Abstract only,
163,"Neuhaus A., Stellmann J.P., Lederer C., Schimpl M., Heesen C., Daumer M.",Ecological validity of the 6 minute walking test in MS patients (#21),Multiple Sclerosis,2012,"Objective: Advances in portable sensor technology enable ecologically- valid, objective monitoring of walking speed in persons with MS. We investigated the association between measurements of the 6MWT and walking speed in the real life situation of MS patients with mild and moderate disability. Methods: MS patients (EDSS: 1-6.5) performed a 6MWT in an outpatient clinic. In a corresponding one-week measurement patients were equipped with a 3D accelerometry hidden in a belt buckle (actibelt) for continuous assessment through 7 days. Walking speed (main parameter), distance and sequences of steps in a row were automatically extracted from the recorded data using standardized software packages. In order to reassess the precision of the speed extraction, patients were also equipped with the actibelt during the 6MWT. Results: 30 patients (67% female) with mean (SD) EDSS 3.6 (1.6) were included in the study. Mean MS duration was 10.7 and mean age 44.4 years. Patients with EDSS 6 or 6.5 (n=5) were not able to complete the 6MWT. In 2 patients (both EDSS 4) the algorithm to determine the walking speed failed. For the remaining 23 patients mean (SD) difference between actual (measured by physician) and actibelt walking speed during the 6MWT was 0.055 (0.188) m/s. Walking sequences of at least 6 minutes are rare in daily life (<1 sequences/day). Even 2 minute sequences occur only typically 3 times per day. Mean daily life walking speed was lower than the 6MWT walking speed (diff.: -0.26 m/s, p=0.002). The difference was larger in patients with EDSS <= 3 (mean walking speed daily life vs. 6MWT: 1.16 m/s vs. 1.53 m/s) compared to those with EDSS 3.5-4.5 (1.08 m/s vs. 1.16 m/s). In real-life walking sequences of >=2min, the 85% quantile of all walking speeds reflects the 6MWT performance of patients with EDSS <=3 (mean diff. < 0.01 m/s). R2 of the corresponding linear model was 0.57 and Pearson's correlation coefficient was 0.755 (p<0.001). Conclusion: 6MWT has limited ecological validity. Ability to complete the 6MWT does not imply that patients typically walk 6 minutes or longer at least once per day in real life situations. For low disability levels the average daily life walking speed was 0.37 (0.14) m/s slower than the 6MWT speed. For higher disability levels 6MWT walking speed was closer to mean real life walking speed. It depends on the clinical question at hand whether the 6MWT is sufficient or if long-term monitoring with mobile accelerometry is needed.",Conference Abstract,10.1177/1352458512444209,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458512444209&atitle=Ecological+validity+of+the+6+minute+walking+test+in+MS+patients+%28%2321%29&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=18&issue=5&spage=S19&epage=S20&aulast=Neuhaus&aufirst=A.&auinit=A.&aufull=Neuhaus+A.&coden=&isbn=&pages=S19-S20&date=2012&auinit1=A&auinitm=,Embase,Yes,,,no,Abstract,,Abstract only,
168,"Carignan B., Daneault J.F., Codere C.E., Sadikot A.F., Duval C.",Identifying different pathological tremor characteristics with a smart phone,Movement Disorders,2012,"Objective: Global: Develop a smart phone application to assess pathological tremors. Specific: (a) determine whether a phone's accelerometer has sensitivity comparable to those of laboratory tools, and (b) determine whether it is possible to analyse tremor amplitude and spectral characteristics directly on the smart phone. Background: In laboratories, pathological tremor is usually quantified and characterized with accelerometers. This type of device can be found in new emerging technology, i.e. smart phones. We propose to use this type of device to “quantitatively” assess tremor characteristics in and outside the clinic. Methods: Study 1: Simulated pathological tremor was recorded simultaneously with a smart phone, a laser and an accelerometer. Time series of all devices were analysed offline and then compared to each other. Next, similar comparisons were performed using results obtained from online analysis of time series by algorithms integrated in the device. Study 2: Tremor of 12 patients (Parkinson's Disease, Essential Tremor and Multiple Sclerosis) and 6 healthy participants was recorded and analysed using a beta version of our smart phone application. Tremor was recorded in 3 different conditions: rest, postural and intention. Tremor amplitude obtained with the smart phone was then compared to scores obtained using a customdesigned clinical scale. Results: Study 1: Correlations between data from the smart phone and laboratory tools were high for amplitude, median power frequency and power distribution of the spectral tremor characteristics (r>0.92). However, power dispersion characteristics were affected by a floor effect that influenced the correlation coefficient. Correlations between data analysed by our usual algorithms performed on computer and the algorithms implemented within the smart phone were very high (r>0.96). Study 2: Tremor amplitude obtained with the smart phone was highly correlated with clinical scores (r>0.85). Moreover, spectral data allowed us to identify a prominent peak in patients with higher tremor amplitude. Conclusions: Smart phones are sensitive enough to detect and quantify pathological tremor. Moreover, it is possible to perform complex spectral analyses directly on the smart phone, allowing for more powerful assessment of pathological tremors.",Conference Abstract,10.1002/MDS.25051,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=08853185&id=doi:10.1002%2Fmds.25051&atitle=Identifying+different+pathological+tremor+characteristics+with+a+smart+phone&stitle=Mov.+Disord.&title=Movement+Disorders&volume=27&issue=&spage=S407&epage=S408&aulast=Carignan&aufirst=B.&auinit=B.&aufull=Carignan+B.&coden=&isbn=&pages=S407-S408&date=2012&auinit1=B&auinitm=,Embase,Yes,,,no,Abstract,,Abstract only,
170,"Spain R., Mancini M., St. George R., Bourdette D., Horak F.",Longitudinal measures of instrumented gait and balance in multiple sclerosis over 18 months,Multiple Sclerosis,2012,"Background: While gait and balance impairments are hallmarks of of even early MS, current stopwatch-timed measures are insensitive and poorly reproducible. Body-worn sensors housing gyroscopes and accelerometers collect objective clinic-based gait and balance data. We previously demonstrated that these sensors distinguish people with mild MS from healthy controls when standard timed tests could not (Spain et al, Gait Posture 2012). Objective: This study compares the abilities of body-worn sensors versus stopwatch-timed tests to reliably capture gait and balance changes in people with MS over 18 months. Methods: MS subjects with normal walking speeds (N=31) and age- and sex-matched control subjects (N=19) were tested using wireless sensors on the lower legs, lumbar back, sternum and wrists for the Timed Up and Go test and during 30-second trials of quiet stance with eyes open (EO) and eyes closed (EC). Fifty gait and 42 sway metrics were calculated using automated software. Clinical tests included the Timed 25 Foot Walk (T25FW), and self-rated disability, gait and balance questionnaires. Tests were repeated at 6 month intervals for 18 months. To assess longitudinal changes in objective measures and group differences, we performed a linear mixed model analysis. Results: Gait and balance parameters (e.g. excessive postural sway area EC, reduced jerkiness of sway EC, excessive trunk rotation during gait) that distinguished mild MS from controls at the baseline visit continued to do so for most follow-up visits. Parameters most consistently distinguishing MS from controls related primarily to balance (p values from each visit demonstrating significant group differences): sway range EC (0.01, 0.001, 0.03, 0.007), sway area ratio EO/EC (0.004, 0.004, 0.05, 0.02), and normalized Jerk EC (0.04, 0.03, 0.02). Stride velocity during gait (0.02, 0.05) and sway area EC (0.007, 0.02) less consistently distinguished MS from controls. The T25FW failed to separate MS from controls at all time points. While no parameter worsened over time using group analysis, one subgroup improved while another worsened. Further subgroup analysis will determine which subjects improved versus worsened over time. Conclusions: Body-worn sensors consistently distinguished mild MS from controls over 18 months while stopwatch-timed tests could not. The availability of small, wireless, body-worn sensors may provide sensitive, reliable and feasible outcome measures for clinical trials and practice.",Conference Abstract,10.1177/1352458512459021,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458512459021&atitle=Longitudinal+measures+of+instrumented+gait+and+balance+in+multiple+sclerosis+over+18+months&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=18&issue=4&spage=330&epage=331&aulast=Spain&aufirst=R.&auinit=R.&aufull=Spain+R.&coden=&isbn=&pages=330-331&date=2012&auinit1=R&auinitm=,Embase,Yes,,,no,Abstract,,Abstract only,
175,"Motl R.W., McAuley E., Dlugonski D.",Reactivity in baseline accelerometer data from a physical activity behavioral intervention,Health Psychology,2012,"Objective: This brief report describes the possibility of reactivity in the baseline assessment of physical activity using accelerometry from two separate randomized controlled trials of a behavior intervention for increasing physical activity in persons with multiple sclerosis (MS). Method: The samples included 18 persons with multiple sclerosis (MS) from Study 1 and 20 from Study 2 who were randomized into treatment arms of the intervention. The participants initially wore an accelerometer over a 7-day period for collection of baseline data, and one week later wore a pedometer over a 7-day period for collection of data for self-monitoring and goal setting in week 1 of the 12-week intervention. The accelerometer and pedometer data were both expressed in average steps per day over a 7-day period. Results: There was a moderate (d = .56), statistically significant (p = .03) difference of 1,822 steps per day between baseline and week 1 of the intervention in Study 1. There was a large (d = 1.36), statistically significant (p = .0001) difference of 2,338 steps per day in Study 2. Conclusion: We are unaware of other research describing a significant change in physical activity between baseline and the first week of a behavioral intervention and believe that this change reflects reactivity in the baseline assessment using accelerometry. © 2011 American Psychological Association.",Article,10.1037/A0025965,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=02786133&id=doi:10.1037%2Fa0025965&atitle=Reactivity+in+baseline+accelerometer+data+from+a+physical+activity+behavioral+intervention&stitle=Health+Psychol.&title=Health+Psychology&volume=31&issue=2&spage=172&epage=175&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=HEPSE&isbn=&pages=172-175&date=2012&auinit1=R&auinitm=W,Embase,Yes,,,no,Out of scope,,Out of scope (outcomes),accelerometer used as outcome measure but no correlation
178,"Benedetti, MG; Agostini, V; Knaflitz, M; Gasparroni, V; Boschi, M; Piperno, R",Self-reported gait unsteadiness in mildly impaired neurological patients: an objective assessment through statistical gait analysis,JOURNAL OF NEUROENGINEERING AND REHABILITATION,2012,"Background: Self-reported gait unsteadiness is often a problem in neurological patients without any clinical evidence of ataxia, because it leads to reduced activity and limitations in function. However, in the literature there are only a few papers that address this disorder. The aim of this study is to identify objectively subclinical abnormal gait strategies in these patients. Methods: Eleven patients affected by self-reported unsteadiness during gait (4 TBI and 7 MS) and ten healthy subjects underwent gait analysis while walking back and forth on a 15-m long corridor. Time-distance parameters, ankle sagittal motion, and muscular activity during gait were acquired by a wearable gait analysis system (Step32, DemItalia, Italy) on a high number of successive strides in the same walk and statistically processed. Both self-selected gait speed and high speed were tested under relatively unconstrained conditions. Non-parametric statistical analysis (Mann-Whitney, Wilcoxon tests) was carried out on the means of the data of the two examined groups. Results: The main findings, with data adjusted for velocity of progression, show that increased double support and reduced velocity of progression are the main parameters to discriminate patients with self-reported unsteadiness from healthy controls. Muscular intervals of activation showed a significant increase in the activity duration of the Rectus Femoris and Tibialis Anterior in patients with respect to the control group at high speed. Conclusions: Patients with a subjective sensation of instability, not clinically documented, walk with altered strategies, especially at high gait speed. This is thought to depend on the mechanisms of postural control and coordination. The gait anomalies detected might explain the symptoms reported by the patients and allow for a more focused treatment design. The wearable gait analysis system used for long distance statistical walking assessment was able to detect subtle differences in functional performance monitoring, otherwise not detectable by common clinical examinations.",Article,10.1186/1743-0003-9-64,WOS:000310270200001,WoS,Yes,,,no,,,included,
184,"Daneault J., Carignan B., Codère C.E., Sadikot A.F., Duval C.",Using a smart phone as a standalone platform for detection and monitoring of pathological tremors,Frontiers in Human Neuroscience,2012,"INTRODUCTION: Smart phones are becoming ubiquitous and their computing capabilities are ever increasing. Consequently, more attention is geared towards their potential use in research and medical settings. For instance, their built-in hardware can provide quantitative data for different movements. Therefore, the goal of the current study was to evaluate the capabilities of a standalone smart phone platform to characterize tremor. RESULTS: Algorithms for tremor recording and online analysis can be implemented within a smart phone. The smart phone provides reliable time- and frequency-domain tremor characteristics. The smart phone can also provide medically-relevant tremor assessments. DISCUSSION: Smart phones have the potential to provide researchers and clinicians with quantitative short- and long-term tremor assessments that are currently not easily available. METHODS: A smart phone application for tremor quantification and online analysis was developed. Then, smart phone results were compared to those obtained simultaneously with a laboratory accelerometer. Finally, results from the smart phone were compared to clinical tremor assessments. © 2012 Daneault, Carignan, Codère, Sadikot and Duval.",Article,10.3389/FNHUM.2012.00357,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=16625161&id=doi:10.3389%2Ffnhum.2012.00357&atitle=Using+a+smart+phone+as+a+standalone+platform+for+detection+and+monitoring+of+pathological+tremors&stitle=Front.+Human+Neurosci.&title=Frontiers+in+Human+Neuroscience&volume=&issue=DEC&spage=1&epage=31&aulast=Daneault&aufirst=Jean-Fran%C3%A7ois&auinit=J.&aufull=Daneault+J.&coden=&isbn=&pages=1-31&date=2012&auinit1=J&auinitm=,Embase,No,Out of scope (outcomes)/Teamdiscussion,,yes,,,included,
185,"Ranadive S.M., Yan H., Weikert M., Lane A.D., Linden M.A., Baynard T., Motl R.W., Fernhall B.",Vascular dysfunction and physical activity in multiple sclerosis,Medicine and Science in Sports and Exercise,2012,"Background: Multiple sclerosis (MS) is an inflammatory disorder of the brain and spinal cord. Disability status and progression are associated with reduced physical activity (PA) and cardiovascular function. Lack of adequate PA combined with inflammation may create high susceptibility to subclinical atherosclerosis and vascular dysfunction. Purpose: The purpose of this study was to compare subclinical atherosclerosis and arterial function between individuals with and without MS matched for age, sex, and body mass index. Methods: Thirty-three individuals diagnosed with MS and 33 controls underwent strain gauge plethysmography for resting forearm blood flow (FBF) and peak reactive hyperemia for the microvascular function. Intima-media thickness and arterial compliance (AC) were measured using carotid ultrasound for vascular function. C-reactive protein and PA (7-d accelerometer data) were also measured. Results: There was a significant difference (P G 0.05) in resting FBF, peak reactive hyperemia, central pulse wave velocity, and AC between the MS and control groups. PA was associated with peak FBF and central pulse wave velocity but not FBF and carotid AC. Individuals with MS exhibit reduced arterial function but similar intima-media thickness compared with controls. Persons with MS had significantly reduced PA levels compared with controls, and PA accounted for differences in arterial function between groups. Conclusions: These results indicate that subclinical markers of atherosclerosis are higher in individuals with MS, suggesting a higher risk of cardiovascular disease in this population. However, the higher levels of subclinical atherosclerosis were accounted for by the low PA in persons with MS, suggesting that increasing PA may reduce the increase in cardiovascular disease risk in patients with MS. Copyright © 2012 by the American College of Sports Medicine.",Article,10.1249/MSS.0B013E31822D7997,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=01959131&id=doi:10.1249%2FMSS.0b013e31822d7997&atitle=Vascular+dysfunction+and+physical+activity+in+multiple+sclerosis&stitle=Med.+Sci.+Sports+Exerc.&title=Medicine+and+Science+in+Sports+and+Exercise&volume=44&issue=2&spage=238&epage=243&aulast=Ranadive&aufirst=Sushant+M.&auinit=S.M.&aufull=Ranadive+S.M.&coden=MSCSB&isbn=&pages=238-243&date=2012&auinit1=S&auinitm=M,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
186,"Pilutti L.A., Dlugonski D., Pula J.H., Motl R.W.",Weight status in persons with multiple sclerosis: Implications for mobility outcomes,Journal of Obesity,2012,"The accumulation of excess body weight may have important health and disease consequences for persons with multiple sclerosis (MS). This study examined the effect of weight status on mobility using a comprehensive set of mobility outcomes including ambulatory performance (timed 25-foot walk, T25FW; 6-minute walk, 6MW; oxygen cost of walking, C w; spatiotemporal parameters of gait; self-reported walking impairment, Multiple Sclerosis Walking Scale-12 (MSWS-12); and free-living activity, accelerometry) in 168 ambulatory persons with MS. Mean (SD) BMI was 27.7 (5.1) kg/ m 2. Of the 168 participants, 31.0% were classified as normal weight (BMI = 18.5-24.9 kg/ m 2), 36.3% were classified as overweight (BMI = 25.0-29.9 kg/ m 2), and 32.7% were classified as obese, classes I and II (BMI = 30-39.9 kg/ m 2). There were no significant differences among BMI groups on T25FW and 6MW, C w, spatiotemporal gait parameters, MSWS-12, or daily step and movement counts. The prevalence of overweight and obesity in this sample was almost 70%, but there was not a consistent nor significant impact of BMI on outcomes of mobility. The lack of an effect of weight status on mobility emphasizes the need to focus on and identify other factors which may be important targets of ambulatory performance in persons with MS. © 2012 Lara A. Pilutti et al.",Article,10.1155/2012/868256,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=20900708&id=doi:10.1155%2F2012%2F868256&atitle=Weight+status+in+persons+with+multiple+sclerosis%3A+Implications+for+mobility+outcomes&stitle=J.+Obes.&title=Journal+of+Obesity&volume=2012&issue=&spage=&epage=&aulast=Pilutti&aufirst=Lara+A.&auinit=L.A.&aufull=Pilutti+L.A.&coden=&isbn=&pages=-&date=2012&auinit1=L&auinitm=A,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
211,"Hilfiker R., Vaney C., Gattlen B., Meichtry A., Deriaz O., Lugon-Moulin V., Anchisi-Bellwald A.M., Palaci C., Foinant D., Terrier P.",Local dynamic stability as a responsive index for the evaluation of rehabilitation effect on fall risk in patients with multiple sclerosis: a longitudinal study.,BMC research notes,2013,"Gait and balance problems are common in patients with multiple sclerosis, leading to high risk for falls. Local Dynamic Stability (LDS), a non-linear gait stability index, has been advocated as an early indicator of risk for falls. With this longitudinal study over three weeks, we aimed to assess the responsiveness of Local Dynamic Stability to a rehabilitation program and to compare it to other measures. Eighteen patients (mean 54 years, median EDSS score: 5) participated. They were admitted to inpatient rehabilitation and received a three weeks individually tailored program. They performed a 3-minute walking test at the beginning and at the end of the stay, as well as pain, wellbeing, fatigue, and balance assessment. The Local Dynamic Stability was computed from the acceleration signals measured with a 3D-accelerometer. At the end of the rehabilitation process, patients reported reduced pain (Effect Size: -0.7), fatigue (ES:-0.6), and increased wellbeing (ES: 1.1). A small positive effect on static balance was observed (ES: 0.3). LDS was improved (ES: 0.6), and the effect was higher than walking speed improvement (ES: 0.4). The Local Dynamic Stability seemed responsive to assess rehabilitation effects in patients with multiple sclerosis. It could constitute a valuable gait quality index, which could evaluate potential effects of rehabilitation on fall risk. Current Controlled Trials ISRCTN69803702.",Article,10.1186/1756-0500-6-260,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17560500&id=doi:10.1186%2F1756-0500-6-260&atitle=Local+dynamic+stability+as+a+responsive+index+for+the+evaluation+of+rehabilitation+effect+on+fall+risk+in+patients+with+multiple+sclerosis%3A+a+longitudinal+study.&stitle=BMC+Res+Notes&title=BMC+research+notes&volume=6&issue=&spage=260&epage=&aulast=Hilfiker&aufirst=Roger&auinit=R.&aufull=Hilfiker+R.&coden=&isbn=&pages=260-&date=2013&auinit1=R&auinitm=,Embase,Yes,,,no,Out of scope,,Out of scope (outcomes),accelerometer used as outcome measure but no correlation
218,"Lamers I., Kerkhofs L., Raats J., Kos D., Van Wijmeersch B., Feys P.",Perceived and actual arm performance in multiple sclerosis: Relationship with clinical tests according to hand dominance,Multiple Sclerosis Journal,2013,"Background: The real-life relevance of frequently applied clinical arm tests is not well known in multiple sclerosis (MS). Objective: This study aimed to determine the relation between real-life arm performance and clinical tests in MS. Methods: Thirty wheelchair-bound MS patients and 30 healthy controls were included. Actual and perceived real-life arm performance was measured by using accelerometry and a self-reported measure (Motor Activity Log). Clinical tests on 'body functions and structures' (JAMAR handgrip strength, Motricity Index (MI), Fugl Meyer (FM)) and 'activity' level (Nine Hole Peg Test (NHPT), Action Research Arm test) of the International Classification of Functioning were conducted. Statistical analyses were performed separately for current dominant and non-dominant arm. Results: For all outcome measures, MS patients scored with both arms significantly lower than the control group. Higher correlations between actual arm performance and clinical tests were found for the non-dominant arm (0.63-0.80). The FM (55%) was a good predictor of actual arm performance, while the MI (46%) and NHPT (55%) were good predictors of perceived arm performance. Conclusions: Real-life arm performance is decreased in wheelchair-bound MS patients and can be best predicted by measures on 'body functions and structures' level and fine motor control. Hand dominance influenced the magnitude of relationships. © 2013 The Author(s).",Article,10.1177/1352458513475832,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14770970&id=doi:10.1177%2F1352458513475832&atitle=Perceived+and+actual+arm+performance+in+multiple+sclerosis%3A+Relationship+with+clinical+tests+according+to+hand+dominance&stitle=Mult.+Scler.+J.&title=Multiple+Sclerosis+Journal&volume=19&issue=10&spage=1341&epage=1348&aulast=Lamers&aufirst=Ilse&auinit=I.&aufull=Lamers+I.&coden=MUSCF&isbn=&pages=1341-1348&date=2013&auinit1=I&auinitm=,Embase,Yes,,,no,Out of scope,,included,
246,"Kuusik, A; Gross-Paju, K; Maamagi, H; Reilent, E",Comparative study of four instrumented mobility analysis tests on neurological disease patients,2014 11TH INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS WORKSHOPS (BSN WORKSHOPS),2014,"Wearable inertial sensor systems are widely used for the mobility analysis of neurological disease patients. Different assessment methodologies, including - Timed Up and Go, Sit and Stand, walking tests and different sensor configurations are used in practice. Sensor signal processing complexities of competing methods have not been thoroughly investigated. Apparently, computational robustness and noise insensitivity are the key parameters for instrumented mobility monitoring, when automated patient assessment is targeted. This paper describes results of comparisons of 4 different mobility assessment methods conducted on 35 multiple sclerosis patients with variable clinical disability scores. The results demonstrate high variability in inertial sensor signal patterns, even for patients with rather weak disability symptoms. Efficiency of widely used instrumented mobility analysis methodologies is discussed, concluding with the authors' proposals.",Proceedings Paper,10.1109/BSN.WORKSHOPS.2014.13,WOS:000358859200007,WoS,No,Out of scope (topic),,yes,,Conference paper with suffcient data,included,
248,"Reynard, F; Vuadens, P; Deriaz, O; Terrier, P",Could Local Dynamic Stability Serve as an Early Predictor of Falls in Patients with Moderate Neurological Gait Disorders? A Reliability and Comparison Study in Healthy Individuals and in Patients with Paresis of the Lower Extremities,PLOS ONE,2014,"Falls while walking are frequent in patients with muscular dysfunction resulting from neurological disorders. Falls induce injuries that may lead to deconditioning and disabilities, which further increase the risk of falling. Therefore, an early gait stability index would be useful to evaluate patients in order to prevent the occurrence of future falls. Derived from chaos theory, local dynamic stability (LDS), defined by the maximal Lyapunov exponent, assesses the sensitivity of a dynamic system to small perturbations. LDS has already been used for fall risk prediction in elderly people. The aim of the present study was to provide information to facilitate future researches regarding gait stability in patients with neurological gait disorders. The main objectives were 1) to evaluate the intra-session repeatability of LDS in patients and 2) to assess the discriminative power of LDS to differentiate between healthy individuals and neurological patients. Eighty-three patients with mild to moderate neurological disorders associated with paresis of the lower extremities and 40 healthy controls participated in the study. The participants performed 2x30 s walking wearing a 3D accelerometer attached to the lower back, from which 2x35 steps were extracted. LDS was defined as the average exponential rate of divergence among trajectories in a reconstructed state-space that reflected the gait dynamics. LDS assessed along the medio-lateral axis offered the highest repeatability and discriminative power. Intra-session repeatability (intraclass correlation coefficient between the two repetitions) in the patients was 0.89 and the smallest detectable difference was 16%. LDS was substantially lower in the patients than in the controls (33% relative difference, standardized effect size 2.3). LDS measured in short over-ground walking tests seems sufficiently reliable. LDS exhibits good discriminative power to differentiate fall-prone individuals and opens up the possibility of future clinical applications for better prediction of fall risk in neurological patients.",Article,10.1371/JOURNAL.PONE.0100550,WOS:000338276300089,WoS,Yes,,,no,Out of scope,,included,
256,"Kahraman T., Savci S., Coskuner Poyraz E., Ozakbas S., Idiman E.",Factors affecting physical activity in minimally impaired people with multiple sclerosis,Multiple Sclerosis,2014,"Background: Despite the commonly known benefits of physical activity, evidence shows that people with multiple sclerosis (pwMS) are relatively inactive. There are several studies about factors affecting physical activity in pwMS. However, these factors have not investigated in minimally impaired pwMS [Expanded Disability Status Scale (EDSS) scores 0-3.5] who do not have remarkable symptoms and walking disturbance. Objectives: The objective was to determine factors affecting physical activity in minimally impaired pwMS. Methods: Fifty two minimally impaired pwMS (EDSS scores between 0 and 3.5) participated in this cross-sectional study. Physical activity was measured with Godin Leisure-Time Exercise Questionnaire (GLTEQ) and an accelerometer which was used for the 7-day period. Demographic data such as age, gender, body mass index (BMI), and employment status were recorded. Disability level, walking, fatigue, depression, cognitive function and quality of life were measured. Results: Accelerometer counts were correlated with Six-Minute Walk Test (6MWT) (r=0.29, p< 0.05) employment status (r=0.28, p< 0.05), BMI (r=0.34, p< 0.05), and gender (r=0.40, p< .005). GLTEQ was correlated with 6MWT (r=0.46, p< 0.05), Timed 25-Foot Walk (T25FW) (r=-0.50, p< 0.05), International Questionnaire Investigating Quality of Life in MS (r=0.36, p< 0.05), EDSS (r=-0.37, p< 0.05), Fatigue Impact Scale (r=-0.31, p< 0.05), and Beck Depression Inventory (r=-0.32, p< 0.05). Cognitive function (Paced Auditory Serial Addition Test and MS Neuropsychological Questionnaire) was not correlated with physical activity (accelerometer and GLTEQ) (p>0.05). Multiple regression analysis showed that the predictors of physical activity were T25FW (?=-0.422), gender (?=0.371), and BMI (?=0.268). Conclusions: Better walking (speed and endurance), low fatigue and depression levels, male gender and being an employee were related with higher physical activity in minimally impaired pwMS.",Conference Abstract,10.1177/1352458514547846,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458514547846&atitle=Factors+affecting+physical+activity+in+minimally+impaired+people+with+multiple+sclerosis&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=20&issue=1&spage=424&epage=425&aulast=Kahraman&aufirst=T.&auinit=T.&aufull=Kahraman+T.&coden=&isbn=&pages=424-425&date=2014&auinit1=T&auinitm=,Embase,Yes,,,no,Abstract,,Abstract only,
