"","Author Names","Title","Source title","Publication Year","Abstract","Publication Type","DOI","Open URL Link","database"
"723","Ng A.V., Kent-Braun J.A.","Quantitation of lower physical activity in persons with multiple sclerosis","Medicine and Science in Sports and Exercise",1997,"Multiple sclerosis (MS) is a demyelinating disease of the central nervous system that often affects the motor system. We tested the hypothesis that physical activity was lower in a group of 17 MS patient (mean ± SD; age = 46 ± 6 yr, 11 females, 6 males) compared with 15 healthy sedentary control subjects (age = 44 ± 7 yr, 9 females, 6 males). Physical activity was measured with a three-dimensional accelerometer and with an activity questionnaire for 7 d. Vector magnitude values from the accelerometer for the MS and sedentary control subjects were 121,027 ± 59,336 and 185,892 ± 60,566 arbitrary units/day, respectively (P = 0.01). Estimated energy expenditure values derived from the questionnaire were 35.9 ± 3.0 and 36.2 ± 4.1 Kcal · kg(-1) · d(-1) (NS), respectively. Thus, when measured directly with an accelerometer, activity was lower in MS compared with sedentary control subjects. The data also suggest that the accelerometer was more sensitive than the questionnaire for detecting differences in activity between two relatively sedentary populations, including one with neurologic disease.","Article","10.1097/00005768-199704000-00014","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=01959131&id=doi:10.1097%2F00005768-199704000-00014&atitle=Quantitation+of+lower+physical+activity+in+persons+with+multiple+sclerosis&stitle=MED.+SCI.+SPORTS+EXERC.&title=Medicine+and+Science+in+Sports+and+Exercise&volume=29&issue=4&spage=517&epage=523&aulast=Ng&aufirst=Alexander+V.&auinit=A.V.&aufull=Ng+A.V.&coden=MSCSB&isbn=&pages=517-523&date=1997&auinit1=A&auinitm=V","Embase"
"722","Kent-Braun J.A., Ng A.V., Castro M., Weiner M.W., Gelinas D., Dudley G.A., Miller R.G.","Strength, skeletal muscle composition, and enzyme activity in multiple sclerosis","Journal of Applied Physiology",1997,"This study examined functional, biochemical, and morphological characteristics of skeletal muscle in nine multiple sclerosis (MS) patients and eight healthy controls in an effort to ascertain whether intramuscular adaptations could account for excessive fatigue in this disease. Analyses of biopsies of the tibialis anterior muscle showed that there were fewer type I fibers (66 ± 6 vs. 76 ± 6%), and that fibers of all types were smaller (average 126%) and had lower succinic dehydrogenase (SDH; average 140%) and SDH/α-glycerol-phosphate dehydrogenase (GPDH) but not GPDH activities in MS vs. control subjects, suggesting that muscle in this disease is smaller and relies more on anaerobic than aerobic-oxidative energy supply than does muscle of healthy individuals. Maximal voluntary isometric force for dorsiflexion was associated with both average fiber cross-sectional area (r = 0.71, P = 0.005) and muscle fat-free cross-sectional area by magnetic resonance imaging (r = 0.80, P < 0.001). Physical activity, assessed by accelerometer, was associated with average fiber SDH/GPDH (r = 0.78, P = 0.008). There was a tendency for symptomatic fatigue to be inversely associated with average fiber SDH activity (r = -0.57, P = 0.068). The results of this study suggest that the inherent characteristics of skeletal muscle fibers per se and of skeletal muscle as a whole are altered in the direction of disuse in MS. They also suggest that changes in skeletal muscle in MS may significantly affect function.","Article",NA,"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=87507587&id=doi:&atitle=Strength%2C+skeletal+muscle+composition%2C+and+enzyme+activity+in+multiple+sclerosis&stitle=J.+Appl.+Physiol.&title=Journal+of+Applied+Physiology&volume=83&issue=6&spage=1998&epage=2004&aulast=Kent-Braun&aufirst=J.A.&auinit=J.A.&aufull=Kent-Braun+J.A.&coden=JAPHE&isbn=&pages=1998-2004&date=1997&auinit1=J&auinitm=A","Embase"
"5091","KentBraun, JA; Ng, AV; Castro, M; Weiner, MW; Gelinas, D; Dudley, GA; Miller, RG","Strength, skeletal muscle composition, and enzyme activity in multiple sclerosis","JOURNAL OF APPLIED PHYSIOLOGY",1997,"This study examined functional, biochemical, and morphological characteristics of skeletal muscle in nine multiple sclerosis (MS) patients and eight healthy controls in an effort to ascertain whether intramuscular adaptations could account for excessive fatigue in this disease. Analyses of biopsies of the tibialis anterior muscle showed that there were fewer type I fibers (66 +/- 6 vs. 76 +/- 6%), and that fibers of all types were smaller (average down arrow 26%) and had lower succinic dehydrogenase (SDH; average down arrow 40%) and SDH/alpha-glycerol-phosphate dehydrogenase (GPDH) but not GPDH activities in MS vs. control subjects, suggesting that muscle in this disease is smaller and relies more on anaerobic than aerobic-oxidative energy supply than does muscle of healthy individuals. Maximal voluntary isometric force for dorsiflexion was associated with both average fiber cross-sectional area (r = 0.71, P = 0.005) and muscle fat-free cross-sectional area by magnetic resonance imaging (r = 0.80, P < 0.001). Physical activity, assessed by accelerometer, was associated with average fiber SDH/GPDH (r = 0.78, P = 0.008). There was a tendency for symptomatic fatigue to be inversely associated with average fiber SDH activity (r = -0.57, P = 0.068). The results of this study suggest that the inherent characteristics of skeletal muscle fibers per se and of skeletal muscle as a whole are altered in the direction of disuse in MS. They also suggest that changes in skeletal muscle in MS may significantly affect function.","Article",NA,"WOS:A1997YK80700028","WoS"
"6101","J.A. Kent-Braun","Strength, skeletal muscle composition, and enzyme activity in multiple sclerosis","Journal of Applied Physiology",1997,NA,"Article","10.1152/JAPPL.1997.83.6.1998","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031457041&origin=inward","Scopus"
"721","Brown P.","A new clinical technique for demonstrating changes in eye acceleration during horizontal saccades in patients with partial internuclear ophthalmoplegias","Journal of Neuro-Ophthalmology",1998,"The eyelid-mounted accelerometer can pick up the acceleration waveform of the eye during horizontal eye movements. The acceleration profile comprises high-amplitude pulsatile activity in the saccade and changes in the level of background ocular microtremor related to eye position. Adducting saccades of 20 were recorded in eight patients with partial internuclear ophthalmoplegias caused by multiple sclerosis and in eight age-matched healthy subjects. The initial pulse of acceleration activity was reduced by 85% in the patients. In the worst-affected cases, adducting saccades were associated only with an increase in the level of background ocular microtremor in the acceleration trace. The results confirm the hypothesis that an internuclear ophthalmoplegia is due to the loss of the pulse signal to ocular motor neurons, with preservation of the step signal in an adducting saccade.","Article",NA,"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=10708022&id=doi:&atitle=A+new+clinical+technique+for+demonstrating+changes+in+eye+acceleration+during+horizontal+saccades+in+patients+with+partial+internuclear+ophthalmoplegias&stitle=J.+Neuro-Ophthalmol.&title=Journal+of+Neuro-Ophthalmology&volume=18&issue=1&spage=36&epage=39&aulast=Brown&aufirst=Peter&auinit=P.&aufull=Brown+P.&coden=JNEOE&isbn=&pages=36-39&date=1998&auinit1=P&auinitm=","Embase"
"5081","Brown, P","A new clinical technique for demonstrating changes in eye acceleration during horizontal saccades in patients with partial internuclear ophthalmoplegias","JOURNAL OF NEURO-OPHTHALMOLOGY",1998,"The eyelid-mounted accelerometer can pick up the acceleration waveform of the eye during horizontal eye movements. The acceleration profile comprises high-amplitude pulsatile activity in the saccade and changes in the level of background ocular microtremor related to eye position. Adducting saccades of 20 degrees were recorded in eight patients with partial internuclear ophthalmoplegias caused by multiple sclerosis and in eight age-matched healthy subjects. The initial pulse of acceleration activity was reduced by 85% in the patients. In the worst-affected cases, adducting saccades were associated only with an increase in the level of background ocular microtremor in the acceleration trace. The results confirm the hypothesis that an internuclear ophthalmoplegia is due to the loss of the pulse signal to ocular motor neurons, with preservation of the step signal in an adducting saccade.","Article",NA,"WOS:000074031600009","WoS"
"1461","P. Brown","A new clinical technique for demonstrating changes in eye acceleration during horizontal saccades in patients with partial internuclear ophthalmoplegias","Journal of Neuro-Ophthalmology",1998,NA,"Article","10.1097/00041327-199803000-00009","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0031881429&origin=inward","Scopus"
"3501","P Brown","A new clinical technique for demonstrating changes in eye acceleration during horizontal saccades in patients with partial internuclear ophthalmoplegias.","Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society",1998,"The eyelid-mounted accelerometer can pick up the acceleration waveform of the eye during horizontal eye movements. The acceleration profile comprises high-amplitude pulsatile activity in the saccade and changes in the level of background ocular microtremor related to eye position. Adducting saccades of 20 degrees were recorded in eight patients with partial internuclear ophthalmoplegias caused by multiple sclerosis and in eight age-matched healthy subjects. The initial pulse of acceleration activity was reduced by 85% in the patients. In the worst-affected cases, adducting saccades were associated only with an increase in the level of background ocular microtremor in the acceleration trace. The results confirm the hypothesis that an internuclear ophthalmoplegia is due to the loss of the pulse signal to ocular motor neurons, with preservation of the step signal in an adducting saccade.","Journal Article",NA,NA,"PubMed"
"2410","J. Cozens","Robotic assistance of an active upper limb exercise in neurologically impaired patients","IEEE Transactions on Rehabilitation Engineering",1999,NA,"Article","10.1109/86.769416","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0033052172&origin=inward","Scopus"
"5051","Johansen, KL; Chertow, GM; Ng, AV; Mulligan, K; Carey, S; Schoenfeld, PY; Kent-Braun, JA","Physical activity levels in patients on hemodialysis and healthy sedentary controls","KIDNEY INTERNATIONAL",2000,"Background. Patients on dialysis have reduced exercise tolerance compared with age-matched sedentary controls. The reasons for this debility have not been fully elucidated, but physical inactivity could be a contributing factor. The purpose of the current study was to determine whether patients on hemodialysis are less active than healthy sedentary controls and to explore clinical correlates of physical activity level in a group of hemodialysis patients. Methods. Thirty-four hemodialysis patients and 80 healthy sedentary individuals participated in the study. Physical activity was measured for seven days with a three-dimensional accelerometer and with an activity questionnaire. Results. Vector magnitude values from the accelerometer for the dialysis and control subjects were 104,718 +/- 9631 and 161,255 +/- 6792 arbitrary units per day, respectively (P < 0.0001, mean +/- SEM). The estimated energy expenditure values derived from the questionnaire were 33.6 +/- 0.5 kcal/kg/day and 36.2 +/- 0.5 kcal/kg/day (P = 0.002). The difference between patients on dialysis and controls increased with advancing age. Among the dialysis subjects, some measures of nutritional status correlated with physical activity level, including serum albumin concentration (r = 0.58, P = 0.003), serum creatinine concentration (r = 0.37, P = 0.03), and phase angle derived from bioelectrical impedance analysis (r = 0.40, P = 0.02). Conclusions. Patients on hemodialysis are less active than healthy sedentary controls, and this difference is more pronounced among older individuals. There is an association between the level of physical activity and nutritional status among patients on dialysis. These findings are of great concern, given the trend toward increasing age in incident dialysis patients and the well-known association between inactivity and increased mortality in the general population.","Article; Proceedings Paper","10.1046/J.1523-1755.2000.00116.X","WOS:000087346100038","WoS"
"5071","Arimilli, S; Howard, MC; Nacy, CC; Deshpande, SV","Rapid identification of antigenic T-cell epitopes by extracellular acidification rate signals","JOURNAL OF CELLULAR BIOCHEMISTRY",2000,"We used a silicon-based biosensor, a microphysiometer, to measure real-time extracellular acidification rate signals associated with T lymphocyte responses to peptide ligands interacting with the T-cell receptor (TCR). We compared these effector responses with those of interferon-gamma (IFN-gamma) production, and T-cell proliferation. Within minutes, major histocompatibility complex (MHC)-bound peptides on antigen-presenting cells (APCs) engaged the TCR to increase acidification rates of the extracellular media was measured by microphysiometer. We exposed two myelin peptide-specific human T-cell clones, MSF132E11 (DRB1*1501 restricted) and TOM3A6 (DRB5*0101 restricted), to truncated analogues of the parent MBP 84-102 peptide, in the presence of MHC restricted human antigen-presenting cells, and measured the extracellular acidification rate signal changes, IFN-gamma production and T-cell proliferation. The core epitopes recognized by these clones were identified by microphysiometer and found to be MBP 88-100 and MBP 91-100, respectively. These epitopes were identical to those identified by the IFN-gamma and proliferation assays. We conclude that measurement of real-time extracellular acidification rate signals by the microphysiometer may facilitate rapid identification of human T-cell epitopes involved in immune disorders and the development of specific T-cell antagonists. J. Cell. Biochem. 77:409-417, 2000. (C) 2000 Wiley-Liss, Inc.","Article","10.1002/(SICI)1097-4644(20000601)77:3<409::AID-JCB6>3.3.CO;2-R","WOS:000086591400006","WoS"
"720","Arimilli S., Howard M.C., Nacy C.C., Deshpande S.V.","Rapid identification of antigenic T-cell epitopes by extracellular, acidification rate signals","Journal of Cellular Biochemistry",2000,"We used a silicon-based biosensor, a microphysiometer, to measure real- time extracellular acidification rate signals associated with T lymphocyte responses to peptide ligands interacting with the T-cell receptor (TCR). We compared these effector responses with those of interferon-γ (IFN-γ) production, and T-cell proliferation. Within minutes, major histocompatibility complex (MHC)-bound peptides on antigen-presenting cells (APCs) engaged the TCR to increase acidification rates of the extracellular media was measured by microphysiometer. We exposed two myelin peptide- specific human T-cell clones, MSF132E11 (DRB1*1501 restricted) and TOM3A6 (DRB5*0101 restricted), to truncated analogues of the parent MBP 84-102 peptide, in the presence of MHC restricted human antigen-presenting cells, and measured the extracellular acidification rate signal changes, IFN-γ production and T-cell proliferation. The core epitopes recognized by these clones were identified by microphysiometer and found to be MBP 88-100 and MBP 91-100, respectively. These epitopes were identical to those identified by the IFN-γ and proliferation assays. We conclude that measurement of real- time extracellular acidification rate signals by the microphysiometer may facilitate rapid identification of human T-cell epitopes involved in immune disorders and the development of specific T-cell antagonists. (C) 2000 Wiley- Liss, Inc.","Article","10.1002/(SICI)1097-4644(20000601)77:3<409::AID-JCB6>3.0.CO;2-%23","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=07302312&id=doi:10.1002%2F%28sici%291097-4644%2820000601%2977%3A3%3C409%3A%3Aaid-jcb6%3E3.0.co%3B2-%2523&atitle=Rapid+identification+of+antigenic+T-cell+epitopes+by+extracellular%2C+acidification+rate+signals&stitle=J.+Cell.+Biochem.&title=Journal+of+Cellular+Biochemistry&volume=77&issue=3&spage=409&epage=417&aulast=Arimilli&aufirst=Subhashini&auinit=S.&aufull=Arimilli+S.&coden=JCEBD&isbn=&pages=409-417&date=2000&auinit1=S&auinitm=","Embase"
"5061","Kent-Braun, JA; Ng, AV; Young, K","Skeletal muscle contractile and noncontractile components in young and older women and men","JOURNAL OF APPLIED PHYSIOLOGY",2000,"To examine the influences of age, gender, and habitual physical activity level on human skeletal muscle composition, we developed a relatively simple magnetic resonance imaging method for the quantitation of leg anterior compartment contractile and noncontractile content. We studied 23 young (II women and 12 men, 26-44 yr old) and 21 older (10 women and II men, 65-83 yr old) healthy adults. Analysis was by two-factor fags, gender) ANOVA. Physical activity, quantitated by three-dimensional accelerometer worn about the waist for 1 wk, was not different between groups. Men had larger contractile and noncontractile cross-sectional areas (cm(2)) than women, with no gender effect on percent noncontractile area. Young subjects had larger contractile areas and smaller absolute (cm(2)) and relative (percent total) noncontractile areas than older subjects. There was a significant linear relationship between physical activity and percent noncontractile area in older (r = -0.68, P = 0.002) but not young subjects. These data demonstrate a more than twofold increase in the noncontractile content of locomotor muscles in older adults and provide novel support far physical activity as a modulator of this age-related change in muscle composition.","Article",NA,"WOS:000085188100037","WoS"
"5041","Alusi, SH; Aziz, TZ; Glickman, S; Jahanshahi, M; Stein, JF; Bain, PG","Stereotactic lesional surgery for the treatment of tremor in multiple sclerosis - A prospective case-controlled study","BRAIN",2001,"The effect of stereotactic lesional surgery for the treatment of tremor in multiple sclerosis was examined in a prospective case-controlled study. Surgery was not undertaken in 33 patients (72% of 46 cases referred for stereotactic surgery), two of whom died within 4 months of referral. Twenty-four multiple sclerosis patients were included in the study; 13 underwent surgery and were matched against 11 controls on the basis of age, sex, expanded disability system scores (EDSS) and disease duration. Assessments were carried out at baseline/preoperatively, and then 3 and 12 months later; these included accelerometric and clinical ratings of tremor, spirography, handwriting, a finger-tapping test, nine-hole peg test, tremor-related disability, general neurological examination, Barthel Activities of Daily Living (ADL) Index of general disability, EDSS, a 0-4 ataxia scale, Mini-Mental State (MMS) examination, speech and swallowing assessments and grip strength. Postoperative MRI scans demonstrated that tremor could be attenuated by lesions centred on the thalamus in seven cases, on the zona incerta in five cases and in the subthalamic nucleus in one case. Two patients developed hemiparesis and in two cases epilepsy recurred. Two surgical patients and one control patient died between the 3 and 6 months assessments. Both groups had a significant deterioration in EDSS but not Barthel ADL Index scores at 1 year, but the difference between the groups was not significant. Similarly, no differences between the groups' rates of deterioration of speech or swallowing or MMS were found. Significant improvements in contralateral upper limb postural (P2) and kinetic tremors, spiral scores and head tremor were detected at 3 and 12 months after surgery (but not handwriting or nine-hole peg test performance). Tremor-related disability and finger-tapping speed were also significantly better 12 months after surgery, the latter having significantly worsened for the control group. A 3 Hz 'filter' for postural (P2) upper limb tremor was detected by accelerometry/spectral analysis above which tremor was always abolished and at or below which some residual tremor invariably remained. Criteria for selecting multiple sclerosis patients for this form of surgery are discussed.","Article","10.1093/BRAIN/124.8.1576","WOS:000170453400010","WoS"
"719","Alusi S.H., Aziz T.Z., Glickman S., Jahanshahi M., Stein J.F., Bain P.G.","Stereotactic lesional surgery for the treatment of tremor in multiple sclerosis a prospective case-controlled study","Brain",2001,"The effect of stereotactic lesional surgery for the treatment of tremor in multiple sclerosis was examined in a prospective case-controlled study. Surgery was not undertaken in 33 patients (72% of 46 cases referred for stereotactic surgery), two of whom died within 4 months of referral. Twenty-four multiple sclerosis patients were included in the study; 13 underwent surgery and were matched against 11 controls on the basis of age, sex, expanded disability system scores (EDSS) and disease duration. Assessments were carried out at baseline/ preoperatively, and then 3 and 12 months later; these included accelerometric and clinical ratings of tremor, spirography, handwriting, a linger-tapping test, nine-hole peg test, tremor-related disability, general neurological examination, Barthel Activities of Daily Living (ADL) Index of general disability, EDSS, a 0-4 ataxia scale, Mini-Mental State (MMS) examination, speech and swallowing assessments and grip strength. Postoperative MRI scans demonstrated that tremor could be attenuated by lesions centred on the thalamus in seven cases, on the zona incerta in five cases and in the subthalamic nucleus in one case. Two patients developed hemiparesis and in two cases epilepsy recurred. Two surgical patients and one control patient died between the 3 and 6 months assessments. Both groups had a significant deterioration in EDSS but not Barthel ADL Index scores at 1 year, but the difference between the groups was not significant. Similarly, no differences between the groups' rates of deterioration of speech or swallowing or MMS were found. Significant improvements in contralateral upper limb postural (P2) and kinetic tremors, spiral scores and head tremor were detected at 3 and 12 months after surgery (but not handwriting or nine-hole peg test performance). Tremor-related disability and fingertapping speed were also significantly better 12 months after surgery, the latter having significantly worsened for the control group. A 3 Hz 'filter' for postural (P2) upper limb tremor was detected by accelerometry/spectral analysis above which tremor was always abolished and at or below which some residual tremor invariably remained. Criteria for selecting multiple sclerosis patients for this form of surgery are discussed.","Article",NA,"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00068950&id=doi:&atitle=Stereotactic+lesional+surgery+for+the+treatment+of+tremor+in+multiple+sclerosis+a+prospective+case-controlled+study&stitle=Brain&title=Brain&volume=124&issue=8&spage=1576&epage=1589&aulast=Alusi&aufirst=S.H.&auinit=S.H.&aufull=Alusi+S.H.&coden=BRAIA&isbn=&pages=1576-1589&date=2001&auinit1=S&auinitm=H","Embase"
"5031","Nardelli, B; Zaritskaya, L; Semenuk, M; Cho, YH; LaFleur, DW; Shah, D; Ullrich, S; Girolomoni, G; Albanesi, C; Moore, PA","Regulatory effect of IFN-kappa, a novel type IIFN, on cytokine production by cells of the innate immune system","JOURNAL OF IMMUNOLOGY",2002,"IFN-kappa is a recently identified type I IFN that exhibits both structural and functional homology with the other type I IFN subclasses. In this study, we have investigated the effect of IFN-kappa on cells of the innate immune system by comparing cytokine release following treatment of human cells with either IFN-kappa or two recombinant IFN subtypes, IFN-beta and IFN-alpha2a. Although IFN-alpha2a failed to stimulate monocyte cytokine secretion, IFN-kappa, like IFN-beta, induced the release of several cytokines from both monocytes and dendritic cells, without the requirement of a costimulatory signal. IFN-kappa was particularly effective in inhibiting inducible IL-12 release from monocytes. Unlike IFN-beta, IFN-kappa did not induce release of IFN-gamma by PBL. Expression of the IFN-kappa mRNA was observed in resting dendritic cells and monocytes, and it was up-regulated by IFN-gamma stimulation in monocytes, while IFN-beta mRNA was minimally detectable under the same conditions. Monocyte and dendritic cell expression of IFN-kappa was also confirmed in vivo in chronic lesions of psoriasis vulgaris and atopic dermatitis. Finally, biosensor-based binding kinetic analysis revealed that IFN-kappa, like IFN-beta, binds strongly to heparin (K-d: 2.1 nM), suggesting that the cytokine can be retained close to the local site of production. The pattern of cytokines induced by IFN-kappa in monocytes, coupled with the unique induction of IFN-kappa mRNA by IFN-gamma, indicates a potential role for IFN-kappa in the regulation of immune cell functions.","Article","10.4049/JIMMUNOL.169.9.4822","WOS:000178777400018","WoS"
"971","G. Sechi","Effects of topiramate in patients with cerebellar tremor","Progress in Neuro-Psychopharmacology and Biological Psychiatry",2003,NA,"Article","10.1016/S0278-5846(03)00170-2","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0141517140&origin=inward","Scopus"
"717","Pearson O.R., Busse M.E., Van Deursen R.W.M., Wiles C.M.","Quantification of walking mobility in neurological disorders","QJM - Monthly Journal of the Association of Physicians",2004,"","Review","10.1093/QJMED/HCH084","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14602725&id=doi:10.1093%2Fqjmed%2Fhch084&atitle=Quantification+of+walking+mobility+in+neurological+disorders&stitle=QJM+Mon.+J.+Assoc.+Phys.&title=QJM+-+Monthly+Journal+of+the+Association+of+Physicians&volume=97&issue=8&spage=463&epage=475&aulast=Busse&aufirst=M.E.&auinit=M.E.&aufull=Busse+M.E.&coden=QMJPF&isbn=&pages=463-475&date=2004&auinit1=M&auinitm=E","Embase"
