"";"Author.Names";"Title";"Source.title";"Publication.Year";"Abstract";"Publication.Type";"DOI";"ID";"database";"yvonne_included";"yvonne_excluded";"yvonne_comments";"catherine_included";"catherine_excluded";"catherine_comment";"johannes_included";"johannes_comment";"tim_included";"tim_comment";"team_decision"
"140";"Madeline Weikert, Deirdre Dlugonski, Yoojin Suh, Bo Fernhall, Robert W Motl";"The impact of gait disability on the calibration of accelerometer output in adults with multiple sclerosis.";"International journal of MS care";2011;"Accelerometer activity counts have been correlated with energy expenditure during treadmill walking among ambulatory adults with multiple sclerosis (MS). This study examined the effects of gait disability on 1) the association between rates of energy expenditure and accelerometer output in overground walking and 2) the calibration of accelerometer output for quantifying time spent in moderate-to-vigorous physical activity (MVPA) in people with MS. The sample consisted of 24 individuals with MS, of whom 10 reported gait disability based on Patient-Determined Disease Steps (PDDS) scores. The participants undertook three 6-minute periods of overground walking while wearing an accelerometer and a portable metabolic unit (K4b2, Cosmed, Rome, Italy). In the first period of walking, the participants walked at a self-selected, comfortable speed. In the two subsequent walking periods, participants walked at speeds above and below (±0.5 mph) the comfortable walking speed, respectively. Strong linear relationships were observed between rates of accelerometer activity counts and energy expenditure during walking in the overall sample (R(2) = 0.90) and subsamples with (R(2) = 0.88) and without gait disability (R(2) = 0.91). The slope of the relationship was significantly steeper in the subsample with gait disability (β= 0.0049) than in the subsample without gait disability (β= 0.0026). The difference in slopes resulted in a significantly lower cut-point for MVPA (1886 vs. 2717 counts/min) in those with gait disability. These findings provide a metabolic cut-point for quantifying time spent in MVPA in people with MS, both with and without gait disability.";"Journal Article";"10.7224/1537-2073-13.4.170";NA;"PubMed";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"144";"Schmidt A.L., Pennypacker M.L., Thrush A.H., Leiper C.I., Craik R.L.";"Validity of the stepwatch step activity monitor: Preliminary findings for use in persons with parkinson disease and multiple sclerosis";"Journal of Geriatric Physical Therapy";2011;"Background: One goal for older adults with Parkinson disease (PD) and multiple sclerosis (MS) is community ambulation; however, the best way for clinicians to measure this has not been established. Self-report questionnaires rely on the participant's cognitive function and reporting accuracy, while the association between clinical timed walk tests and community ambulation may not be strong. Progress toward the identification of an appropriate clinical tool to measure strides in PD and MS populations is hampered by the lack of meaningful research and reference standards in this area. Purpose: The objective of the present study was to explore the validity of the StepWatch Step Activity Monitor (SAM) in assessing stride count in persons with PD or MS. The SAM is a 2-dimensional accelerometer that counts strides and is calibrated for individual participants. Methods: A convenience sample of 20 participants completed a health history interview. Participants ambulated approximately 15 m while wearing the SAM to establish appropriate baseline calibrations, matching their stride with the device settings. Next, participants took 3 passes over the GaitMat II (GM II) while wearing the SAM. Strides counted by the GM were compared with the strides counted by the SAM. Results: The Pearson correlation coefficients (r) for MS and PD, respectively, were 0.99 and 1.0. Conclusions: Our investigation presents preliminary data that shows the concurrent validity of the SAM when compared with the gold standard GM. The SAM appears to be a valid tool for use in persons with PD and MS. The validity was apparent in a population of widely varying impairment levels. Copyright © 2011 The Section on Geriatrics of the American Physical Therapy Association.";"Article";"10.1519/JPT.0B013E31820AA921";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=15398412&id=doi:10.1519%2FJPT.0b013e31820aa921&atitle=Validity+of+the+stepwatch+step+activity+monitor%3A+Preliminary+findings+for+use+in+persons+with+parkinson+disease+and+multiple+sclerosis&stitle=J.+Geriatr.+Phys.+Ther&title=Journal+of+Geriatric+Physical+Therapy&volume=34&issue=1&spage=41&epage=45&aulast=Schmidt&aufirst=Amy+L.&auinit=A.L.&aufull=Schmidt+A.L.&coden=&isbn=&pages=41-45&date=2011&auinit1=A&auinitm=L";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"147";"Yu F., Bilberg A., Stenager E., Rabotti C., Zhang B., Mischi M.";"A wireless body measurement system to study fatigue in multiple sclerosis";"Physiological Measurement";2012;"Fatigue is reported as the most common symptom by patients with multiple sclerosis (MS). The physiological and functional parameters related to fatigue in MS patients are currently not well established. A new wearable wireless body measurement system, named Fatigue Monitoring System (FAMOS), was developed to study fatigue in MS. It can continuously measure electrocardiogram, body-skin temperature, electromyogram and motions of feet. The goal of this study is to test the ability of distinguishing fatigued MS patients from healthy subjects by the use of FAMOS. This paper presents the realization of the measurement system including the design of both hardware and dedicated signal processing algorithms. Twenty-six participants including 17 MS patients with fatigue and 9 sex- and age-matched healthy controls were included in the study for continuous 24h monitoring. The preliminary results show significant differences between fatigued MS patients and healthy controls. In conclusion, the FAMOS enables continuous data acquisition and estimation of multiple physiological and functional parameters. It provides a new, flexible and objective approach to study fatigue in MS, which can distinguish between fatigued MS patients and healthy controls. The usability and reliability of the FAMOS should however be further improved and validated through larger clinical trials. © 2012 Institute of Physics and Engineering in Medicine.";"Article";"10.1088/0967-3334/33/12/2033";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=09673334&id=doi:10.1088%2F0967-3334%2F33%2F12%2F2033&atitle=A+wireless+body+measurement+system+to+study+fatigue+in+multiple+sclerosis&stitle=Physiol.+Meas.&title=Physiological+Measurement&volume=33&issue=12&spage=2033&epage=2048&aulast=Yu&aufirst=Fei&auinit=F.&aufull=Yu+F.&coden=PMEAE&isbn=&pages=2033-2048&date=2012&auinit1=F&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"148";"Sandroff B.M., Motl R.W., Suh Y.";"Accelerometer output and its association with energy expenditure in persons with multiple sclerosis";"Journal of Rehabilitation Research and Development";2012;"Limited data support the strong association between rates of accelerometer activity counts and energy expenditure during dynamic activity in persons with multiple sclerosis (MS). This study examined the association between rates of activity counts and energy expenditure during walking by using two models of accelerometers and generated cut-points representing moderate-to-vigorous physical activity (MVPA) in persons with MS. Participants were 43 persons with MS and 43 controls who undertook 5 min of seated rest and up to five 6 min periods of walking at five different speeds on a treadmill. While walking, participants wore two models of accelerometers and a mouthpiece in-line with an open-circuit spirometry system for measuring energy expenditure (rate of oxygen consumption). Strong linear associations were found between accelerometer activity counts and energy expenditure, and the magnitude did not differ between MS and controls for both accelerometer models. The mean slopes of the linear relationships were steeper in persons with MS than controls and resulted in distinct cut-points for MVPA based on accelerometer counts for persons with MS and controls. The strong linear relationship between activity counts and energy expenditure and cut-points for quantifying time spent in MVPA should allow for better understanding of physical activity and examination of its predictors and consequences when using accelerometers in MS.";"Article";"10.1682/JRRD.2011.03.0063";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=07487711&id=doi:10.1682%2FJRRD.2011.03.0063&atitle=Accelerometer+output+and+its+association+with+energy+expenditure+in+persons+with+multiple+sclerosis&stitle=J.+Rehabil.+Res.+Dev.&title=Journal+of+Rehabilitation+Research+and+Development&volume=49&issue=3&spage=467&epage=476&aulast=Sandroff&aufirst=Brian+M.&auinit=B.M.&aufull=Sandroff+B.M.&coden=JRRDD&isbn=&pages=467-476&date=2012&auinit1=B&auinitm=M";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"149";"Weikert M., Suh Y., Lane A., Sandroff B., Dlugonski D., Fernhall B., Motl R.W.";"Accelerometry is associated with walking mobility, not physical activity, in persons with multiple sclerosis";"Medical Engineering and Physics";2012;"Accelerometers are seemingly a criterion standard of real-life walking mobility and this is supported by assumptions and empirical data. This application would be strengthened by including objective measures of walking mobility along with a matched control sample for verifying specificity versus generality in accelerometer output. We compared associations among accelerometer output, walking mobility, and physical activity between persons with multiple sclerosis (MS) and controls without a neurological disorder. Sixty-six persons (33 MS, 33 matched controls) completed a battery of questionnaires, performed the six-minute walk (6MW) and timed-up-and-go (TUG), and wore an accelerometer for a 7-day period. After this period, participants completed the Godin Leisure-Time Exercise Questionnaire (GLTEQ) and International Physical Activity Questionnaire (IPAQ). Accelerometer output was significantly correlated with only mobility measures (6MW, ρ=78; TUG, ρ=-68) in MS, whereas it correlated with both mobility (6MW, ρ=58; TUG, ρ=-49) and physical activity (GLTEQ, ρ=56; IPAQ, ρ=53) measures in controls. Regression analysis indicated that only 6MW explained variance in accelerometer output in MS (β=65, R(2)=43). These findings support the possibility that accelerometers primarily and specifically measure real-life walking mobility, not physical activity, in persons with MS. © 2011 IPEM.";"Article";"10.1016/J.MEDENGPHY.2011.09.005";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13504533&id=doi:10.1016%2Fj.medengphy.2011.09.005&atitle=Accelerometry+is+associated+with+walking+mobility%2C+not+physical+activity%2C+in+persons+with+multiple+sclerosis&stitle=Med.+Eng.+Phys.&title=Medical+Engineering+and+Physics&volume=34&issue=5&spage=590&epage=597&aulast=Weikert&aufirst=Madeline&auinit=M.&aufull=Weikert+M.&coden=MEPHE&isbn=&pages=590-597&date=2012&auinit1=M&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"150";"Motl R.W., Weikert M., Suh Y., Sosnoff J.J., Pula J., Soaz C., Schimpl M., Lederer C., Daumer M.";"Accuracy of the actibelt(®) accelerometer for measuring walking speed in a controlled environment among persons with multiple sclerosis";"Gait and Posture";2012;"Background: Advances in portable sensor technology have opened an era for objective, real-life monitoring of walking speed in persons with multiple sclerosis (MS). Purpose: The present study examined the accuracy of the actibelt(®) accelerometer for measuring walking speed during a standard 6-min walk (6MW) and the possibility that disability status influenced the degree of accuracy among persons with MS. Methods: On a single testing session, 51 persons with MS and Expanded Disability Status Scale scores between 2.0 and 6.5 performed a 6MW while wearing an actibelt(®) in the body's sagittal symmetry plane and close to the body's centre of mass. Results: All 51 participants completed the 6MW without stopping, falling, or any adverse events, and the actibelt(®) provided walking speed data for each of the participants. The actibelt(®) significantly overestimated walking speed (actual minus actibelt(®)) by a mean±standard deviation of -0.12±0.17m/s for the overall sample (p<0.0001). There was no significant overestimation in the sample with mild disability (-0.02±0.11m/s), but there was in the samples with moderate (-0.10±0.16m/s) and severe (-0.26±0.12m/s) disability. Conclusion: The actibelt(®) is ready for real-life monitoring of walking speed in persons with mild MS, but caution is necessary when interpreting the accuracy of the walking speed data for those with MS who have moderate and severe disability. © 2011 Elsevier B.V.";"Article";"10.1016/J.GAITPOST.2011.09.005";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=09666362&id=doi:10.1016%2Fj.gaitpost.2011.09.005&atitle=Accuracy+of+the+actibelt%C2%AE+accelerometer+for+measuring+walking+speed+in+a+controlled+environment+among+persons+with+multiple+sclerosis&stitle=Gait+Posture&title=Gait+and+Posture&volume=35&issue=2&spage=192&epage=196&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=GAPOF&isbn=&pages=192-196&date=2012&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"152";"Spain R.I., St. George R.J., Salarian A., Mancini M., Wagner J.M., Horak F.B., Bourdette D.";"Body-worn motion sensors detect balance and gait deficits in people with multiple sclerosis who have normal walking speed";"Gait and Posture";2012;"While balance and gait limitations are hallmarks of multiple sclerosis (MS), standard stopwatch-timed measures practical for use in the clinic are insensitive in minimally affected patients. This prevents early detection and intervention for mobility problems. The study sought to determine if body-worn sensors could detect differences in balance and gait between people with MS with normal walking speeds and healthy controls. Thirty-one MS and twenty-eight age- and sex-matched control subjects were tested using body-worn sensors both during quiet stance and gait (Timed Up and Go test, TUG). Results were compared to stopwatch-timed measures. Stopwatch durations of the TUG and Timed 25 Foot Walk tests were not significantly different between groups. However, during quiet stance with eyes closed, people with MS had significantly greater sway acceleration amplitude than controls (. p=. 0.02). During gait, people with MS had greater trunk angular range of motion in roll (medio-lateral flexion, . p=. 0.017) and yaw (axial rotation, . p=. 0.026) planes. Turning duration through 180° was also longer in MS (. p=. 0.031). Thus, body-worn motion sensors detected mobility differences between MS and healthy controls when traditional timed tests could not. This portable technology provides objective and quantitative mobility data previously not obtainable in the clinic, and may prove a useful outcome measure for early mobility changes in MS. © 2011 .";"Article";"10.1016/J.GAITPOST.2011.11.026";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=09666362&id=doi:10.1016%2Fj.gaitpost.2011.11.026&atitle=Body-worn+motion+sensors+detect+balance+and+gait+deficits+in+people+with+multiple+sclerosis+who+have+normal+walking+speed&stitle=Gait+Posture&title=Gait+and+Posture&volume=35&issue=4&spage=573&epage=578&aulast=Spain&aufirst=R.I.&auinit=R.I.&aufull=Spain+R.I.&coden=GAPOF&isbn=&pages=573-578&date=2012&auinit1=R&auinitm=I";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"157";"Coote S., O'Dwyer C.";"Comparative validity of accelerometer-based measures of physical activity for people with multiple sclerosis";"Archives of Physical Medicine and Rehabilitation";2012;"Objective: To estimate the criterion validity of accelerometer-based devices as measures of steps and energy expenditure in healthy controls and people with multiple sclerosis (MS) with varying disability levels during everyday activities. Design: Cross-sectional study. Setting: University research room. Participants: People with MS who used at most a stick to walk outdoors (MS-A; n=19), people with MS who used bilateral support for gait (MS-B; n=11), and healthy controls (n=15). Interventions: Participants completed 85 minutes of 9 scripted everyday activities. Main Outcome Measures: Estimates of metabolic equivalent thresholds (METs) and kilocalories from a portable metabolic system, and steps counted from video of the activities. Step and MET estimates from an integrative accelerometer and from a uniaxial accelerometer, and kilocalorie estimates from the integrative accelerometer. Results: The uniaxial accelerometer had >30% error for steps for all groups. MET estimates had an intraclass correlation coefficient (ICC) <0.2 for all groups. For the integrative accelerometer, step estimates for controls had an ICC of.69 and <1% error. The step estimates for MS-A and MS-B groups had >20% error. The MET estimates had an ICC of.50 to.65 and 6% to 15% error. Kilocalorie estimates had 2.9% error for controls, 8.16% for MS-A, and 2.56% for MS-B groups. ICCs were all >.67, and mean differences from criterion were <20kcal. Conclusions: The agreement between steps and MET estimates from both devices and the criterion was poor, particularly for people with MS. Only the step and MET estimates for the control group for the integrative accelerometer were not significantly different from the criterion. Kilocalorie estimates from the integrative accelerometer using the proprietary algorithms of the device provide the most valid estimate of physical activity during activities of daily living for people with a range of walking disabilities resulting from MS. © 2012 American Congress of Rehabilitation Medicine.";"Article";"10.1016/J.APMR.2012.05.010";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00039993&id=doi:10.1016%2Fj.apmr.2012.05.010&atitle=Comparative+validity+of+accelerometer-based+measures+of+physical+activity+for+people+with+multiple+sclerosis&stitle=Arch.+Phys.+Med.+Rehabil.&title=Archives+of+Physical+Medicine+and+Rehabilitation&volume=93&issue=11&spage=2022&epage=2028&aulast=Coote&aufirst=Susan&auinit=S.&aufull=Coote+S.&coden=APMHA&isbn=&pages=2022-2028&date=2012&auinit1=S&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"162";"Sosnoff J.J., Socie M.J., Boes M.K., Sandroff B.M., Motl R.W.";"Does a waist-worn ActiGraph accelerometer quantify community ambulation in persons with multiple sclerosis?";"Journal of Rehabilitation Research and Development";2012;"Accelerometry has been recognized as a method of objectively measuring community ambulation in persons with multiple sclerosis (MS). However, the assumption that walking itself serves as a major contributor to the accelerometer signal has yet to be tested. This study examined the assumption that community-based walking is a primary contributor to acceler-ometer output in MS. Ambulatory persons (5 males/17 females; 13 without aid/9 with aid) with MS wore a triaxial accelerome-ter (ActiGraph GT3X, Health One Technologies; Fort Walton Beach, Florida) as well as an IDEEA system (MiniSun, Inc; Fresno, Florida) over the course of a single day. Outcome mea-sures for the accelerometer included movement counts/hour for the vertical, anterior-posterior, and mediolateral axes. Outcomes for the IDEEA system included percent time walking, sitting, and standing, as well as walking speed. Pearson product corre-lations (r) were used to examine the associations between out-comes from the accelerometer and IDEEA system. Significant correlations were observed between percent walking time and movement counts/hour along the vertical (r = 0.84) and ante-rior-posterior (r = 0.69) axes. Significant correlations were fur-ther noted between movement counts/hour along the vertical axis and walking speed (r = 0.45) and self-report walking impairment (r =-0.50) and disability (r =-0.46). Such obser-vations further support accelerometry as an objective marker of community ambulation in persons with MS.";"Article";"10.1682/JRRD.2011.11.0218";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=07487711&id=doi:10.1682%2FJRRD.2011.11.0218&atitle=Does+a+waist-worn+ActiGraph+accelerometer+quantify+community+ambulation+in+persons+with+multiple+sclerosis%3F&stitle=J.+Rehabil.+Res.+Dev.&title=Journal+of+Rehabilitation+Research+and+Development&volume=49&issue=9&spage=1405&epage=1410&aulast=Sosnoff&aufirst=Jacob+J.&auinit=J.J.&aufull=Sosnoff+J.J.&coden=JRRDD&isbn=&pages=1405-1410&date=2012&auinit1=J&auinitm=J";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"166";"Sosnoff J.J., Sandroff B.M., Pula J.H., Morrison S.M., Motl R.W.";"Falls and physical activity in persons with multiple sclerosis";"Multiple Sclerosis International";2012;"Objectives. To examine the association between fall history and physical activity using an objective measure of physical activity (i.e., accelerometry) in persons with multiple sclerosis. Design. A community-based sample of 75 ambulatory persons with multiple sclerosis volunteered for the investigation. Participants self-reported fall history in the last year, underwent a neurological exam to determine Expanded Disability Status Scale (EDSS) score, and wore an accelerometer around the waist for 7 consecutive days to determine physical activity. Results. Overall, 37 persons (49.3 of the sample) reported falling in the last year with 28 of the 37 falling more than once. Persons who fell in the last year had a significantly lower number of steps/day than nonfallers (3510 versus 4940 steps/day; P .05). However, when controlling for disability status there was no statistically significant difference between fallers and nonfallers (4092 versus 4373 steps/day; P >.05). Conclusions. Collectively, the findings suggest that fall history may have little impact on current physical activity levels in persons with multiple sclerosis. © 2012 J. J. Sosnoff et al.";"Article";"10.1155/2012/315620";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=20902654&id=doi:10.1155%2F2012%2F315620&atitle=Falls+and+physical+activity+in+persons+with+multiple+sclerosis&stitle=Mult.+Scler.+Int.&title=Multiple+Sclerosis+International&volume=&issue=&spage=&epage=&aulast=Sosnoff&aufirst=J.J.&auinit=J.J.&aufull=Sosnoff+J.J.&coden=&isbn=&pages=-&date=2012&auinit1=J&auinitm=J";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"172";"Sandroff B.M., Dlugonski D., Weikert M., Suh Y., Balantrapu S., Motl R.W.";"Physical activity and multiple sclerosis: New insights regarding inactivity";"Acta Neurologica Scandinavica";2012;"Objectives: There is increasing recognition that physical activity has beneficial consequences among persons with multiple sclerosis (MS), but there is concern regarding the current degree of physical inactivity in this population because of limitations with previous research and increased recognition of health behaviors in MS. This study compared physical activity levels between large samples of persons with mild MS and matched controls using validated measures of physical activity. Materials and methods: The sample included 77 cases of MS and 77 controls matched on age, height, weight, and gender. Physical activity was assessed using five measures, namely the Godin Leisure-Time Exercise Questionnaire (GLTEQ), International Physical Activity Questionnaire (IPAQ), and activity counts per day, step counts per day, and time spent in moderate-to-vigorous physical activity (MVPA) per day by accelerometry. Results: There were statistically significant differences between groups in accelerometer activity counts (t = -3.87, P = 0.0001), accelerometer step counts (t = -4.29, P = 0.0001), time spent in MVPA (t = -2.39, P = 0.01), GLTEQ scores (t = -3.83, P = 0.0001), and IPAQ scores (t = -3.42, P = 0.0001). The average effect size across all five measures was d = -0.59 and indicated that persons with MS overall were moderately less physically active than the matched controls. Conclusions: The primary finding was a moderate reduction in physical activity among those with MS, but the magnitude was substantially smaller than reported in a published meta-analysis. Importantly, the degree of physical inactivity can likely be overcome through the delivery of behavioral interventions for increasing physical activity and this should translate into meaningful consequences for persons with MS. © 2012 John Wiley & Sons A/S.";"Article";"10.1111/J.1600-0404.2011.01634.X";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00016314&id=doi:10.1111%2Fj.1600-0404.2011.01634.x&atitle=Physical+activity+and+multiple+sclerosis%3A+New+insights+regarding+inactivity&stitle=Acta+Neurol.+Scand.&title=Acta+Neurologica+Scandinavica&volume=126&issue=4&spage=256&epage=262&aulast=Sandroff&aufirst=B.M.&auinit=B.M.&aufull=Sandroff+B.M.&coden=ANRSA&isbn=&pages=256-262&date=2012&auinit1=B&auinitm=M";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"173";"Dlugonski D., Motl R.W.";"Possible antecedents and consequences of self-esteem in persons with multiple sclerosis: Preliminary evidence from a cross-sectional analysis";"Rehabilitation Psychology";2012;"Background: Persons with multiple sclerosis (MS) have consistently reported lower levels of self-esteem compared with the general population. Despite this, very little is known about the antecedents and consequences of self-esteem in persons with MS. Objectives: To examine (1) physical activity and social support as potentially modifiable correlates (i.e., antecedents) of self-esteem and (2) physical and psychological health-related quality of life as possible consequences of self-esteem in persons with MS. Methods: Participants (N = 46) wore an Actigraph accelerometer for 7 days and then completed a battery of questionnaires, including the Rosenberg Self-Esteem Scale (RSES), Multiple Sclerosis Impact Scale (MSIS-29), and Social Provisions Scale (SPS). The data were analyzed using PASW Statistics 18. Results: Bivariate correlation analysis indicated that average daily step counts (r = .298, p = .026) and social support (r = .366, p = .007) were significantly correlated with self-esteem. Multiple linear regression analysis indicated that only social support was a significant predictor of self-esteem scores (β = .411, p = .004); pedometer steps approached significance as a predictor of self-esteem (β = .178, p = .112). Bivariate correlation analysis further indicated significant negative associations between self-esteem and physical (r = -.391, p = .004) and psychological (r = -.540, p = .0001) domains of health-related quality of life (HRQOL), indicating that higher self-esteem was associated with more positive HRQOL. Conclusions: Social support is a potentially modifiable variable that may be important to target when designing interventions to improve self-esteem and this might have implications for improving physical and psychological HRQOL in persons with MS. © 2012 American Psychological Association.";"Article";"10.1037/A0027176";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=00905550&id=doi:10.1037%2Fa0027176&atitle=Possible+antecedents+and+consequences+of+self-esteem+in+persons+with+multiple+sclerosis%3A+Preliminary+evidence+from+a+cross-sectional+analysis&stitle=Rehabil.+Psychol.&title=Rehabilitation+Psychology&volume=57&issue=1&spage=35&epage=42&aulast=Dlugonski&aufirst=Deirdre&auinit=D.&aufull=Dlugonski+D.&coden=RHBPB&isbn=&pages=35-42&date=2012&auinit1=D&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"175";"Motl R.W., McAuley E., Dlugonski D.";"Reactivity in baseline accelerometer data from a physical activity behavioral intervention";"Health Psychology";2012;"Objective: This brief report describes the possibility of reactivity in the baseline assessment of physical activity using accelerometry from two separate randomized controlled trials of a behavior intervention for increasing physical activity in persons with multiple sclerosis (MS). Method: The samples included 18 persons with multiple sclerosis (MS) from Study 1 and 20 from Study 2 who were randomized into treatment arms of the intervention. The participants initially wore an accelerometer over a 7-day period for collection of baseline data, and one week later wore a pedometer over a 7-day period for collection of data for self-monitoring and goal setting in week 1 of the 12-week intervention. The accelerometer and pedometer data were both expressed in average steps per day over a 7-day period. Results: There was a moderate (d = .56), statistically significant (p = .03) difference of 1,822 steps per day between baseline and week 1 of the intervention in Study 1. There was a large (d = 1.36), statistically significant (p = .0001) difference of 2,338 steps per day in Study 2. Conclusion: We are unaware of other research describing a significant change in physical activity between baseline and the first week of a behavioral intervention and believe that this change reflects reactivity in the baseline assessment using accelerometry. © 2011 American Psychological Association.";"Article";"10.1037/A0025965";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=02786133&id=doi:10.1037%2Fa0025965&atitle=Reactivity+in+baseline+accelerometer+data+from+a+physical+activity+behavioral+intervention&stitle=Health+Psychol.&title=Health+Psychology&volume=31&issue=2&spage=172&epage=175&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=HEPSE&isbn=&pages=172-175&date=2012&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"no";"Out of scope";"";"Included";"";"Out of scope (outcomes)";"accelerometer used as outcome measure but no correlation";"in"
"178";"Benedetti, MG; Agostini, V; Knaflitz, M; Gasparroni, V; Boschi, M; Piperno, R";"Self-reported gait unsteadiness in mildly impaired neurological patients: an objective assessment through statistical gait analysis";"JOURNAL OF NEUROENGINEERING AND REHABILITATION";2012;"Background: Self-reported gait unsteadiness is often a problem in neurological patients without any clinical evidence of ataxia, because it leads to reduced activity and limitations in function. However, in the literature there are only a few papers that address this disorder. The aim of this study is to identify objectively subclinical abnormal gait strategies in these patients. Methods: Eleven patients affected by self-reported unsteadiness during gait (4 TBI and 7 MS) and ten healthy subjects underwent gait analysis while walking back and forth on a 15-m long corridor. Time-distance parameters, ankle sagittal motion, and muscular activity during gait were acquired by a wearable gait analysis system (Step32, DemItalia, Italy) on a high number of successive strides in the same walk and statistically processed. Both self-selected gait speed and high speed were tested under relatively unconstrained conditions. Non-parametric statistical analysis (Mann-Whitney, Wilcoxon tests) was carried out on the means of the data of the two examined groups. Results: The main findings, with data adjusted for velocity of progression, show that increased double support and reduced velocity of progression are the main parameters to discriminate patients with self-reported unsteadiness from healthy controls. Muscular intervals of activation showed a significant increase in the activity duration of the Rectus Femoris and Tibialis Anterior in patients with respect to the control group at high speed. Conclusions: Patients with a subjective sensation of instability, not clinically documented, walk with altered strategies, especially at high gait speed. This is thought to depend on the mechanisms of postural control and coordination. The gait anomalies detected might explain the symptoms reported by the patients and allow for a more focused treatment design. The wearable gait analysis system used for long distance statistical walking assessment was able to detect subtle differences in functional performance monitoring, otherwise not detectable by common clinical examinations.";"Article";"10.1186/1743-0003-9-64";"WOS:000310270200001";"WoS";"Yes";"";"";"no";"";"";"Out of scope (topic)";"";"included";"";"in"
"185";"Ranadive S.M., Yan H., Weikert M., Lane A.D., Linden M.A., Baynard T., Motl R.W., Fernhall B.";"Vascular dysfunction and physical activity in multiple sclerosis";"Medicine and Science in Sports and Exercise";2012;"Background: Multiple sclerosis (MS) is an inflammatory disorder of the brain and spinal cord. Disability status and progression are associated with reduced physical activity (PA) and cardiovascular function. Lack of adequate PA combined with inflammation may create high susceptibility to subclinical atherosclerosis and vascular dysfunction. Purpose: The purpose of this study was to compare subclinical atherosclerosis and arterial function between individuals with and without MS matched for age, sex, and body mass index. Methods: Thirty-three individuals diagnosed with MS and 33 controls underwent strain gauge plethysmography for resting forearm blood flow (FBF) and peak reactive hyperemia for the microvascular function. Intima-media thickness and arterial compliance (AC) were measured using carotid ultrasound for vascular function. C-reactive protein and PA (7-d accelerometer data) were also measured. Results: There was a significant difference (P G 0.05) in resting FBF, peak reactive hyperemia, central pulse wave velocity, and AC between the MS and control groups. PA was associated with peak FBF and central pulse wave velocity but not FBF and carotid AC. Individuals with MS exhibit reduced arterial function but similar intima-media thickness compared with controls. Persons with MS had significantly reduced PA levels compared with controls, and PA accounted for differences in arterial function between groups. Conclusions: These results indicate that subclinical markers of atherosclerosis are higher in individuals with MS, suggesting a higher risk of cardiovascular disease in this population. However, the higher levels of subclinical atherosclerosis were accounted for by the low PA in persons with MS, suggesting that increasing PA may reduce the increase in cardiovascular disease risk in patients with MS. Copyright © 2012 by the American College of Sports Medicine.";"Article";"10.1249/MSS.0B013E31822D7997";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=01959131&id=doi:10.1249%2FMSS.0b013e31822d7997&atitle=Vascular+dysfunction+and+physical+activity+in+multiple+sclerosis&stitle=Med.+Sci.+Sports+Exerc.&title=Medicine+and+Science+in+Sports+and+Exercise&volume=44&issue=2&spage=238&epage=243&aulast=Ranadive&aufirst=Sushant+M.&auinit=S.M.&aufull=Ranadive+S.M.&coden=MSCSB&isbn=&pages=238-243&date=2012&auinit1=S&auinitm=M";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Out of scope (topic)";"";"included";"accelerometer used as outcome measure";"in"
